scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
0,PRT_1,4770388.165553963,62990228.17277969,1530015.955579606,9071292.144406574,48148602.03497783,14304240.039794382,battery
0,PRT_2,5219582.300325491,68921578.00452809,1674086.8717192805,9925472.367200512,52682419.59467507,15651170.41636963,battery
0,PRT_1,1406801214.827551,1183856249.0643992,586743823.8259903,41079788.58189596,51656401.80441124,4662507779.717208,pumped_hydro
0,PRT_2,234541307.6185681,197372016.5730836,97821683.85043351,6848805.097082085,8612133.610903887,777331338.5791115,pumped_hydro
1,PRT_1,6582233105.443901,86914597053.58969,2111132537.891491,12516666860.197186,66435961036.44776,19737144875.969883,battery
1,PRT_2,6242301806.930604,82426000043.5945,2002105705.592648,11870259060.490698,63004957888.83507,18717844407.701057,battery
1,PRT_1,1161760725.3759491,977648924.4946388,484543177.2402184,33924398.47092704,42658748.22830654,3850379401.967791,pumped_hydro
1,PRT_2,161595295.56449327,135986234.91157895,67397611.42687424,4718719.679547695,5933625.468474809,535569144.235854,pumped_hydro
2,PRT_1,24659573.64024215,325615466.9883007,7909113.434373828,46892242.07421856,248894630.02815628,73942926.31699252,battery
2,PRT_2,43952141.815693125,580362717.995168,14096856.676253088,83578674.30191419,443618865.2633403,131792626.71631052,battery
2,PRT_1,692597817.4595796,582837323.1739051,288866321.3441878,20224443.66243299,25431532.73572909,2295450613.835513,pumped_hydro
2,PRT_2,82020121.880068,69021858.10853522,34208671.01574413,2395057.1202112283,3011700.8197230897,271836171.54186803,pumped_hydro
3,PRT_1,9846132.141968071,130012503.95519684,3157969.27946784,18723243.906474017,99379229.0343677,29524104.27294669,battery
3,PRT_2,17051688.882735007,225157730.6036688,5469021.629843473,32425212.80086577,172106535.89312744,51130315.26947252,battery
3,PRT_1,545347822.3450003,458922995.3685612,227451798.6090212,15924618.922280464,20024653.04784887,1807425553.4724493,pumped_hydro
3,PRT_2,70341005.45757225,59193607.45407647,29337585.210288603,2054017.0156088967,2582854.7793001784,233128520.0228264,pumped_hydro
4,PRT_1,26175434.813057262,345631540.69973487,8395298.562367791,49774778.89758668,264194558.21370137,78488309.48717608,battery
4,PRT_2,32397392.985637445,427788914.7688542,10390879.414202126,61606352.83559527,326994183.2196997,97145152.52162798,battery
4,PRT_1,651780881.0174844,548488912.9185427,271842533.5392894,19032554.50145619,23932773.67364196,2160172593.245504,pumped_hydro
4,PRT_2,76260039.12478112,64174613.243303575,31806275.46350153,2226857.818627304,2800196.062620479,252745748.26438165,pumped_hydro
5,PRT_1,22136081.85420795,292294211.3843617,7099748.962885785,42093611.35053443,223424459.14737925,66376113.93335272,battery
5,PRT_2,33394432.43701637,440954246.4693467,10710661.83357993,63502306.75571127,337057526.9333746,100134823.62316462,battery
5,PRT_1,570393362.874905,479999405.7064341,237897706.71986,16655969.946891222,20944301.461132348,1890433036.2191985,pumped_hydro
5,PRT_2,90872106.08459692,76471010.63036862,37900626.215860486,2653542.566356444,3336737.255586207,301173966.23847646,pumped_hydro
6,PRT_1,19616002.47335961,259018014.6254926,6291478.958807954,37301469.60076221,197988730.4406086,58819533.81199377,battery
6,PRT_2,22841015.79145906,301602458.01192456,7325843.807622284,43434102.20062629,230539516.1254967,68489892.4982604,battery
6,PRT_1,646242849.3463056,543828529.2535732,269532750.2913306,18870839.279849872,23729422.421029456,2141818105.433694,pumped_hydro
6,PRT_2,82297265.74586959,69255081.17797881,34324261.22838855,2403149.956138509,3021877.278727093,272754698.9192838,pumped_hydro
7,PRT_1,58466008.62572248,772009969.8130748,18751917.653649136,111178006.1402476,590110591.4651691,175313159.54325616,battery
7,PRT_2,77635993.40530804,1025138577.6806875,24900344.48247056,147631335.78648502,783597564.8803949,232795287.69090423,battery
7,PRT_1,929680501.1405072,782347967.3661121,387747953.60303336,27147459.095878497,34136983.25710312,3081204738.474979,pumped_hydro
7,PRT_2,90668422.72512922,76299606.30160148,37815674.65914857,2647594.839516011,3329258.196464959,300498906.2242344,pumped_hydro
8,PRT_1,43762335.85277543,577856439.5755059,14035979.837377544,83217742.38597293,441703110.9357616,131223484.3403999,battery
8,PRT_2,59574813.422484,786651098.5269624,19107546.79152901,113286491.21388838,601302007.9790797,178637964.44795525,battery
8,PRT_1,647865734.7168434,545194225.3925701,270209617.753417,18918228.909039605,23789013.22739173,2147196772.7151616,pumped_hydro
8,PRT_2,120652347.8090612,101531783.17773744,50321267.255764894,3523150.881351189,4430239.39088255,399873489.1410026,pumped_hydro
9,PRT_1,56866017.1442028,750883003.8309001,18238749.246685285,108135488.49729572,573961517.1279238,170515507.5663073,battery
9,PRT_2,89760287.18175673,1185232893.8889432,28788993.012594275,170686694.61135846,905970792.3281442,269150570.00180775,battery
9,PRT_1,704920357.7201921,593207030.0934871,294005764.1564032,20584272.28879645,25884004.68716344,2336290740.518249,pumped_hydro
9,PRT_2,120298547.8269585,101234052.18680812,50173705.57314725,3512819.62181582,4417248.1922389455,398700903.311796,pumped_hydro
10,PRT_1,39168430.74904119,517196568.5868495,12562567.640465518,74482047.54659618,395335792.1872949,117448437.31207909,battery
10,PRT_2,56603207.49161741,747412753.7363901,18154457.79119336,107635733.9586218,571308920.1202725,169727460.08989823,battery
10,PRT_1,657471617.5134835,553277801.2785754,274216006.3916412,19198728.833456308,24141732.102097955,2179033184.8523784,pumped_hydro
10,PRT_2,112245291.59648484,94457048.00648987,46814881.095946446,3277657.7099146782,4121540.287461353,372010302.3719593,pumped_hydro
11,PRT_1,239843421.48981145,3166994240.526127,76925451.13414316,456082329.09815377,2420793665.2633696,719182119.7547016,battery
11,PRT_2,382605249.54715127,5052081954.903078,122713732.33789656,727555887.3148323,3861720945.4694166,1147260377.997425,battery
11,PRT_1,955422294.5763826,804010290.8699499,398484252.48699176,27899141.29583609,35082197.41449404,3166519785.7564487,pumped_hydro
11,PRT_2,206972754.45071223,174172431.86883584,86323486.28522833,6043779.963674657,7599842.574618705,685961930.9713479,pumped_hydro
12,PRT_1,417604075.10535526,5514221288.471246,133938974.32496682,794109081.7995254,4214971973.480443,1252206052.1273422,battery
12,PRT_2,2306378876.4913163,30454404681.80364,739729422.0466644,4385772364.482498,23278801391.451145,6915788805.251654,battery
12,PRT_1,1038159817.9038092,873635859.1385217,432992134.836935,30315147.14673878,38120240.53263799,3440733613.639693,pumped_hydro
12,PRT_2,205944342.8389529,173306999.35402182,85894559.89876321,6013749.472414796,7562080.278938662,682553505.4667058,pumped_hydro
13,PRT_1,268447726.44936097,3544697612.577941,86099765.98390621,510475807.7566435,2709503356.8413844,804953514.054931,battery
13,PRT_2,1394630995.2678924,18415299040.671253,447302735.3022441,2652007499.7398944,14076324702.813995,4181868609.204189,battery
13,PRT_1,1172901411.7101796,987024073.5893615,489189696.47185946,34249715.960309155,43067823.628293656,3887302555.116408,pumped_hydro
13,PRT_2,128770367.3264794,108363287.18443558,53707102.98247618,3760203.936156891,4728325.341923765,426778732.5804592,pumped_hydro
14,PRT_1,532284122.7472302,7028505266.44772,170720531.00114617,1012182785.487977,5372463520.003203,1596079731.2315967,battery
14,PRT_2,250115904.61800632,3302636463.6932826,80220164.80190092,475616315.0696124,2524476150.8149505,749984658.1165614,battery
14,PRT_1,1298877617.0564306,1093036007.8702552,541731419.962629,37928327.99691296,47693550.00141074,4304820702.879845,pumped_hydro
14,PRT_2,134751532.3594211,113396577.97655477,56201706.77253102,3934859.027748347,4947948.029865506,446601880.4452283,pumped_hydro
15,PRT_1,325589131.9524992,4299216961.075871,104426841.0792498,619134970.2549589,3286244430.692845,976294786.9580764,battery
15,PRT_2,542851878.7550046,7168046397.924319,174109948.11888078,1032278257.53982,5479126261.22313,1627767659.628851,battery
15,PRT_1,1243753700.249225,1046647937.759642,518740525.87551343,36318662.87551654,45669452.2357751,4122125601.2171774,pumped_hydro
15,PRT_2,179227538.96921575,150824181.68024454,74751607.00839327,5233596.140881515,6581064.66630005,594007018.174187,pumped_hydro
16,PRT_1,564980990.5901096,7460248574.220878,181207461.5738648,1074358614.815981,5702480370.39807,1694122873.6222258,battery
16,PRT_2,785087986.1905742,10366634678.27249,251802810.11072624,1492910479.1143365,7924069844.564209,2354124364.11758,battery
16,PRT_1,1218033599.5132723,1025003869.1720582,508013274.50840926,35567614.12079428,44725034.61368115,4036882449.226305,pumped_hydro
16,PRT_2,159518980.82234976,134238967.31143516,66531629.198232986,4658089.52815336,5857385.167100223,528687693.2274596,pumped_hydro
17,PRT_1,39931275.74344912,527269497.3697085,12807236.412182264,75932661.11618797,403035358.5067283,119735864.9876631,battery
17,PRT_2,20183922.897071056,266517076.7210844,6473629.190533834,38381417.79354483,203720879.1714536,60522470.7182459,battery
17,PRT_1,1401159057.695049,1179108241.3792238,584390612.2878861,40915032.80851013,51449227.16395157,4643808192.847784,pumped_hydro
17,PRT_2,236822460.51167017,199291660.28614447,98773099.2722595,6915416.696207764,8695895.37424429,784891676.8832809,pumped_hydro
18,PRT_1,1054064835.1057488,13918319048.258057,338072282.5812023,2004392457.5013337,10638913753.610168,3160664477.522246,battery
18,PRT_2,2523588821.768898,33322536904.92705,809395593.9496129,4798815245.250817,25471150284.299603,7567103349.991709,battery
18,PRT_1,1470451966.5117931,1237419850.9043891,613291060.9473267,42938444.51331549,53993596.83203785,4873463046.02255,pumped_hydro
18,PRT_2,230618988.53081137,194071292.9783612,96185776.46312144,6734270.053198478,8468109.786736866,764331745.553141,pumped_hydro
19,PRT_1,348201752.56069404,4597803592.239308,111679431.25164483,662134759.9091291,3514478702.799605,1044099825.4335692,battery
19,PRT_2,7759175901.402084,102455448802.09856,2488615709.9367547,14754722039.120253,78315109720.76538,23266264872.54727,battery
19,PRT_1,1308607226.8472896,1101223702.9265738,545789412.2310839,38212440.85449379,48050812.01359799,4337067178.6898985,pumped_hydro
19,PRT_2,232527890.5793501,195677678.86657035,96981934.77992111,6790011.611956753,8538202.853323156,770658347.0361524,pumped_hydro
20,PRT_1,64746513.143658966,854940414.6522642,20766276.189694345,123120910.85140993,653501137.9193461,194145556.6308304,battery
20,PRT_2,35005981063.310165,462233817891.8093,11227536986.26168,66566801276.21755,353323250135.4663,104967130258.66258,battery
20,PRT_1,1008115518.457303,848352875.8189002,420461361.50832576,29437828.122312903,37017042.44908288,3341158934.268479,pumped_hydro
20,PRT_2,217517961.13020927,183046470.8543144,90721644.90561444,6351708.942111909,7987052.528381383,720911508.5404203,pumped_hydro
21,PRT_1,349006708.0871828,4608432566.344307,111937606.21693444,663665450.1780596,3522603300.202522,1046513523.5798532,battery
21,PRT_2,28537066700.878723,376815529572.6218,9152749391.141768,54265619485.081535,288031040691.354,85569777123.91042,battery
21,PRT_1,730665124.7665533,614871855.9603584,304743303.2636203,21336041.320702173,26829328.0327015,2421615643.123896,pumped_hydro
21,PRT_2,175115364.63496187,147363690.43845567,73036515.44628161,5113517.16278385,6430069.538160326,580378195.123048,pumped_hydro
22,PRT_1,73177459.14134048,966266200.6629444,23470350.0405871,139153059.92282686,738596574.5028837,219426156.6843431,battery
22,PRT_2,36161005427.15129,477485249368.3552,11597990216.571272,68763176722.9719,364981171148.4479,108430526774.5886,battery
22,PRT_1,764522394.490922,643363543.2840476,318864377.153096,22324702.311023947,28072534.75618781,2533827504.91789,pumped_hydro
22,PRT_2,196580060.51900247,165426735.9410879,81988937.15840517,5740304.486818943,7218232.743813665,651517820.6037319,pumped_hydro
23,PRT_1,456767822.8728116,6031356020.98348,146500039.98356092,868582224.2649022,4610260499.280007,1369640447.2922487,battery
23,PRT_2,25937409504.714493,342488553596.1548,8318956238.230336,49322153862.72456,261792115173.86584,77774579067.78038,battery
23,PRT_1,670673112.6696688,564387169.3775779,279722040.6959334,19584223.688212667,24626478.44082676,2222786398.3276434,pumped_hydro
23,PRT_2,194138075.18326545,163371747.95176464,80970442.29323477,5668996.443966233,7128565.36623838,643424441.4497873,pumped_hydro
24,PRT_1,106922479.90902103,1411849764.1138134,34293456.75729614,203322039.7163507,1079192668.4093082,320612236.4030144,battery
24,PRT_2,28959016728.103542,382387136655.7354,9288082251.21653,55067992758.37935,292289877338.27435,86835014724.02942,battery
24,PRT_1,876431131.8277234,737537372.9798932,365538889.35315984,25592532.351124007,32181717.09152064,2904722378.3027744,pumped_hydro
24,PRT_2,189156004.39232308,159179218.41953695,78892537.30165595,5523515.751573571,6945628.468059422,626912553.6457111,pumped_hydro
25,PRT_1,394426184.1327953,5208170587.719555,126505083.8795793,750034383.2620996,3981032300.288608,1182706023.0769434,battery
25,PRT_2,4422657479.193194,58398644738.395065,1418487610.3144698,8410053156.281743,44638877909.41706,13261552729.184456,battery
25,PRT_1,1363587499.9562044,1147490893.4928222,568720395.89737,39817911.45807581,50069635.31933312,4519286207.504651,pumped_hydro
25,PRT_2,161206208.59461677,135658809.09202257,67235332.36846852,4707358.010042416,5919338.565221556,534279608.08468,pumped_hydro
26,PRT_1,2545346761.935675,33609837973.12342,816374060.7871954,4840189788.550782,25690758074.23913,7632345587.754329,battery
26,PRT_2,167320481.6293193,2209370589.9897785,53665026.34663369,318173892.3390338,1688803301.2582693,501718570.84545153,battery
26,PRT_1,1352080291.224075,1137807307.1956,563921008.7615827,39481891.20382721,49647101.56570187,4481148303.107861,pumped_hydro
26,PRT_2,151005284.76691577,127074492.20889126,62980766.058645815,4409482.382864094,5544770.3501347415,500471074.0816802,pumped_hydro
27,PRT_1,7127867827.8546095,94119389299.1806,2286135032.915853,13554236927.735905,71943175165.37769,21373257027.129177,battery
27,PRT_2,375188250.7425009,4954144757.583224,120334863.75953382,713451843.6486323,3786859506.243634,1125020147.727974,battery
27,PRT_1,1267871225.7899475,1066943401.697562,528799380.6787624,37022915.07539315,46555024.82181559,4202057399.1684136,pumped_hydro
27,PRT_2,150643881.79531267,126770363.12380572,62830033.34725386,4398929.109587213,5531499.976952186,499273289.95343786,pumped_hydro
28,PRT_1,10049766577.40846,132701379389.87248,3223281351.466295,19110471819.682323,101434557249.2569,30134711993.70627,battery
28,PRT_2,401283965.9620673,5298723646.966216,128704593.70027576,763075029.0705745,4050249436.647569,1203269414.1516516,battery
28,PRT_1,1222733138.6059651,1028958641.6473496,509973342.14867234,35704844.64798275,44897597.21677604,4052457952.964728,pumped_hydro
28,PRT_2,131283315.62959129,110477992.17676777,54755194.83859933,3833584.157840682,4820598.412128054,435107301.59916216,pumped_hydro
29,PRT_1,10401517567.15764,137346048614.9666,3336099136.524813,19779355751.00249,104984859202.27966,31189454378.810104,battery
29,PRT_2,1529047323.5903828,20190189237.72458,490414348.0026236,2907611392.1015944,15433018974.80956,4584922482.152374,battery
29,PRT_1,1269681534.446563,1068466818.9318384,529554418.00194097,37075777.623490125,46621497.63287837,4208057236.321093,pumped_hydro
29,PRT_2,199050354.99925208,167505546.7401184,83019239.10443781,5812439.180700423,7308939.606234618,659705023.6790208,pumped_hydro
30,PRT_1,7645104949.934795,100949207588.29236,2452029509.871664,14537806582.75926,77163765919.09973,22924217597.833225,battery
30,PRT_2,1083176018.3685842,14302715456.363068,347409169.5036459,2059749807.654384,10932739482.05103,3247955770.973139,battery
30,PRT_1,886023005.722469,745609160.0460743,369539435.2066476,25872623.203724425,32533921.57268108,2936512361.269061,pumped_hydro
30,PRT_2,193005097.15721825,162418320.34447256,80497903.70547467,5635912.52472633,7086963.491337925,639669455.4538864,pumped_hydro
31,PRT_1,9769492688.859129,129000524118.16216,3133388557.30978,18577507575.42263,98605689775.11702,29294297159.61683,battery
31,PRT_2,731967328.777586,9665206992.514418,234765317.438825,1391897105.4489264,7387911086.649513,2194839499.1680555,battery
31,PRT_1,1337279853.1353602,1125352391.0812693,557748092.8250997,39049705.859376535,49103643.56414925,4432095773.863128,pumped_hydro
31,PRT_2,217310159.40263963,182871600.8221045,90634975.67406508,6345640.955430113,7979422.246702746,720222799.1753585,pumped_hydro
