scenario,location,tech_type,value
0,PRT_1,chp_biofuel_extraction,6.060198178326705e-05
0,PRT_2,chp_biofuel_extraction,5.05138003229184e-05
0,PRT_1,chp_hydrogen,2.460120553517743e-05
0,PRT_2,chp_hydrogen,3.286773159307333e-05
0,PRT_1,chp_methane_extraction,1.00550453288186e-05
0,PRT_2,chp_methane_extraction,1.0773054990210089e-05
0,PRT_1,chp_wte_back_pressure,0.0963488954942974
0,PRT_1,chp_wte_back_pressure,5.639512056429561e-06
0,PRT_2,chp_wte_back_pressure,0.0942956891866361
0,PRT_2,chp_wte_back_pressure,6.13484829812873e-06
0,PRT_1,electrolysis,0.2436802546921
0,PRT_2,electrolysis,3.7646845706523
0,PRT-10_1,existing_pv,0.2
0,PRT-12_1,existing_pv,0.1
0,PRT-15_1,existing_pv,0.2
0,PRT-3_1,existing_pv,0.5
0,PRT-9_1,existing_pv,0.1
0,PRT-10_1,existing_wind,0.11
0,PRT-11_1,existing_wind,0.43
0,PRT-12_1,existing_wind,0.1
0,PRT-15_1,existing_wind,0.1199999999998999
0,PRT-16_1,existing_wind,0.03
0,PRT-17_1,existing_wind,0.08
0,PRT-18_1,existing_wind,0.83
0,PRT-19_1,existing_wind,0.7699999999999999
0,PRT-1_1,existing_wind,0.06
0,PRT-20_1,existing_wind,0.82
0,PRT-3_1,existing_wind,0.1399999999999999
0,PRT-4_1,existing_wind,0.35
0,PRT-5_1,existing_wind,0.1799999999999
0,PRT-6_1,existing_wind,0.67
0,PRT-7_1,existing_wind,0.4799999999999
0,PRT-9_1,existing_wind,0.23
0,PRT_1,hydro_reservoir,1.1303999999999998
0,PRT_2,hydro_reservoir,0.205
0,PRT_1,hydro_run_of_river,1.4028
0,PRT_2,hydro_run_of_river,0.2127
0,PRT-10_1,open_field_pv,9.9980757092508
0,PRT-11_1,open_field_pv,9.9999670680093
0,PRT-12_1,open_field_pv,0.0008400532142855
0,PRT-14_1,open_field_pv,0.0005811402757018
0,PRT-15_1,open_field_pv,0.7995260411223
0,PRT-16_1,open_field_pv,0.0005612657819633
0,PRT-17_1,open_field_pv,4.332215332152501
0,PRT-18_1,open_field_pv,0.0005386384488558
0,PRT-19_1,open_field_pv,0.0012328885255363
0,PRT-20_1,open_field_pv,0.0027535409119577
0,PRT-3_1,open_field_pv,9.9995263570512
0,PRT-4_1,open_field_pv,0.0006209564425993
0,PRT-5_1,open_field_pv,0.0446553254807332
0,PRT-6_1,open_field_pv,9.9994134770455
0,PRT-7_1,open_field_pv,9.9999108089796
0,PRT-8_1,open_field_pv,0.0013916216384669
0,PRT-9_1,open_field_pv,9.9999061749641
0,PRT_1,pumped_hydro,3.126
0,PRT_2,pumped_hydro,0.514
0,PRT-11_1,wind_onshore,0.0025025277710827
0,PRT-12_1,wind_onshore,1.963366654774
0,PRT-14_1,wind_onshore,0.0007143975219861
0,PRT-16_1,wind_onshore,0.0009296900340993
0,PRT-17_1,wind_onshore,2.0517036514163
0,PRT-3_1,wind_onshore,0.0007641622775169
0,PRT-8_1,wind_onshore,0.0006441880770596
0,PRT-9_1,wind_onshore,9.9997480885674
1,PRT_1,chp_biofuel_extraction,8.34804112647504e-05
1,PRT_2,chp_biofuel_extraction,8.01046278256926e-05
1,PRT_1,chp_hydrogen,0.0002345672584271
1,PRT_2,chp_hydrogen,0.0002179141419402
1,PRT_1,chp_methane_extraction,0.0001045540488654
1,PRT_2,chp_methane_extraction,9.960333167767816e-05
1,PRT_1,chp_wte_back_pressure,0.096407712843389
1,PRT_1,chp_wte_back_pressure,9.740866250625056e-05
1,PRT_2,chp_wte_back_pressure,0.094353272880379
1,PRT_2,chp_wte_back_pressure,9.2845706340765e-05
1,PRT_1,electrolysis,6.9344840368187
1,PRT-10_1,existing_pv,0.2
1,PRT-12_1,existing_pv,0.1
1,PRT-15_1,existing_pv,0.2
1,PRT-3_1,existing_pv,0.5
1,PRT-9_1,existing_pv,0.1
1,PRT-10_1,existing_wind,0.11
1,PRT-11_1,existing_wind,0.43
1,PRT-12_1,existing_wind,0.1
1,PRT-15_1,existing_wind,0.1199999999998999
1,PRT-16_1,existing_wind,0.03
1,PRT-17_1,existing_wind,0.08
1,PRT-18_1,existing_wind,0.83
1,PRT-19_1,existing_wind,0.7699999999999999
1,PRT-1_1,existing_wind,0.06
1,PRT-20_1,existing_wind,0.82
1,PRT-3_1,existing_wind,0.1399999999999999
1,PRT-4_1,existing_wind,0.35
1,PRT-5_1,existing_wind,0.1799999999999
1,PRT-6_1,existing_wind,0.67
1,PRT-7_1,existing_wind,0.4799999999999
1,PRT-9_1,existing_wind,0.23
1,PRT_1,hydro_reservoir,1.1303999999999998
1,PRT_2,hydro_reservoir,0.205
1,PRT_1,hydro_run_of_river,1.4028
1,PRT_2,hydro_run_of_river,0.2127
1,PRT-12_1,open_field_pv,7.441697249924401
1,PRT-14_1,open_field_pv,0.0241413037317599
