spores,techs,carriers,unit,biofuel_use_rate
0,biofuel_supply,biofuel,fraction,0.8228428776379451
1,biofuel_supply,biofuel,fraction,0.10532407610746392
2,biofuel_supply,biofuel,fraction,0.7117551560035472
3,biofuel_supply,biofuel,fraction,0.7152786383315111
4,biofuel_supply,biofuel,fraction,0.7123299661053965
5,biofuel_supply,biofuel,fraction,0.718386667893706
6,biofuel_supply,biofuel,fraction,0.8356451463761309
7,biofuel_supply,biofuel,fraction,0.7274891059513084
8,biofuel_supply,biofuel,fraction,0.7833853443363576
9,biofuel_supply,biofuel,fraction,0.8761461381200185
10,biofuel_supply,biofuel,fraction,0.8346053742026529
11,biofuel_supply,biofuel,fraction,0.5776064557224987
12,biofuel_supply,biofuel,fraction,1.0009737770934894
13,biofuel_supply,biofuel,fraction,0.5758890320607509
14,biofuel_supply,biofuel,fraction,0.5761341820984275
15,biofuel_supply,biofuel,fraction,0.5800801933293528
16,biofuel_supply,biofuel,fraction,0.5837735392078488
17,biofuel_supply,biofuel,fraction,0.5977444687727845
18,biofuel_supply,biofuel,fraction,0.6193958680552614
19,biofuel_supply,biofuel,fraction,0.5837624870466033
20,biofuel_supply,biofuel,fraction,0.9997131498768509
21,biofuel_supply,biofuel,fraction,0.5774784537806745
22,biofuel_supply,biofuel,fraction,0.5744386098113737
23,biofuel_supply,biofuel,fraction,0.606268045143721
24,biofuel_supply,biofuel,fraction,0.5769979158740147
25,biofuel_supply,biofuel,fraction,0.5797325092167821
26,biofuel_supply,biofuel,fraction,0.6185742299560684
27,biofuel_supply,biofuel,fraction,0.5758236600835631
28,biofuel_supply,biofuel,fraction,0.5757089095719686
29,biofuel_supply,biofuel,fraction,0.6054063818562593
30,biofuel_supply,biofuel,fraction,0.5968530665230161
31,biofuel_supply,biofuel,fraction,0.5841522418079041
32,biofuel_supply,biofuel,fraction,0.5793958476423507
33,biofuel_supply,biofuel,fraction,0.7389568505053898
34,biofuel_supply,biofuel,fraction,0.5745868156869328
35,biofuel_supply,biofuel,fraction,0.5790948747962695
36,biofuel_supply,biofuel,fraction,0.5795723779026009
37,biofuel_supply,biofuel,fraction,0.7179046552872923
38,biofuel_supply,biofuel,fraction,0.7193064333724135
39,biofuel_supply,biofuel,fraction,0.5734631744402131
40,biofuel_supply,biofuel,fraction,0.5906258829186455
41,biofuel_supply,biofuel,fraction,0.5859203751160175
42,biofuel_supply,biofuel,fraction,0.5783710601363726
43,biofuel_supply,biofuel,fraction,0.5819188023428025
44,biofuel_supply,biofuel,fraction,0.6061414456109535
45,biofuel_supply,biofuel,fraction,0.5805077687728706
46,biofuel_supply,biofuel,fraction,0.5760771142859172
47,biofuel_supply,biofuel,fraction,0.5788956725781581
48,biofuel_supply,biofuel,fraction,0.5766839285485036
49,biofuel_supply,biofuel,fraction,0.5826512966454114
50,biofuel_supply,biofuel,fraction,0.5907355945354816
51,biofuel_supply,biofuel,fraction,4.15550551760277e-05
52,biofuel_supply,biofuel,fraction,2.5019422316044605e-05
53,biofuel_supply,biofuel,fraction,5.51978682460776e-05
54,biofuel_supply,biofuel,fraction,1.473311421128208e-05
55,biofuel_supply,biofuel,fraction,4.134278090390732e-06
56,biofuel_supply,biofuel,fraction,2.8286621549842766e-05
57,biofuel_supply,biofuel,fraction,1.2449683292739053e-05
58,biofuel_supply,biofuel,fraction,2.6412431033555203e-05
59,biofuel_supply,biofuel,fraction,2.5800028343273238e-05
60,biofuel_supply,biofuel,fraction,3.065523232448913e-05
61,biofuel_supply,biofuel,fraction,0.0655720685125855
62,biofuel_supply,biofuel,fraction,0.5906818037647452
63,biofuel_supply,biofuel,fraction,0.10474543375547123
64,biofuel_supply,biofuel,fraction,0.49377836055548807
65,biofuel_supply,biofuel,fraction,0.11902590415666683
66,biofuel_supply,biofuel,fraction,0.4638654842601598
67,biofuel_supply,biofuel,fraction,0.12522150635379933
68,biofuel_supply,biofuel,fraction,0.46607229981733733
69,biofuel_supply,biofuel,fraction,0.12610897472130653
70,biofuel_supply,biofuel,fraction,0.4464537176829269
71,biofuel_supply,biofuel,fraction,0.06276818920775792
72,biofuel_supply,biofuel,fraction,0.5280306562839651
73,biofuel_supply,biofuel,fraction,0.11338337724107572
74,biofuel_supply,biofuel,fraction,0.4155839962766255
75,biofuel_supply,biofuel,fraction,0.1904656561593406
76,biofuel_supply,biofuel,fraction,0.4167758336608759
77,biofuel_supply,biofuel,fraction,0.2228174972132819
78,biofuel_supply,biofuel,fraction,0.4035396134149567
79,biofuel_supply,biofuel,fraction,0.24927979270481918
80,biofuel_supply,biofuel,fraction,0.38798429126459577
81,biofuel_supply,biofuel,fraction,0.5702150264195077
82,biofuel_supply,biofuel,fraction,0.9639521867528136
83,biofuel_supply,biofuel,fraction,0.9635821996901922
84,biofuel_supply,biofuel,fraction,0.9639386872111192
85,biofuel_supply,biofuel,fraction,0.9639330838725176
86,biofuel_supply,biofuel,fraction,0.9639545616671603
87,biofuel_supply,biofuel,fraction,0.9639251895678738
88,biofuel_supply,biofuel,fraction,0.9639228514985649
89,biofuel_supply,biofuel,fraction,0.9639548836841338
90,biofuel_supply,biofuel,fraction,0.9639649176210003
91,biofuel_supply,biofuel,fraction,0.5702074107623075
92,biofuel_supply,biofuel,fraction,0.9998743597733484
93,biofuel_supply,biofuel,fraction,0.8403349070876883
94,biofuel_supply,biofuel,fraction,0.9908793680913844
95,biofuel_supply,biofuel,fraction,0.8459003421025678
96,biofuel_supply,biofuel,fraction,0.9914019287318633
97,biofuel_supply,biofuel,fraction,0.8475219028862659
98,biofuel_supply,biofuel,fraction,0.9921328139830039
99,biofuel_supply,biofuel,fraction,0.8453741001613473
100,biofuel_supply,biofuel,fraction,0.9913902941615361
101,biofuel_supply,biofuel,fraction,0.5701663596817853
102,biofuel_supply,biofuel,fraction,0.9998931214760822
103,biofuel_supply,biofuel,fraction,0.8366013301780748
104,biofuel_supply,biofuel,fraction,0.9844297199443817
105,biofuel_supply,biofuel,fraction,0.841205357750857
106,biofuel_supply,biofuel,fraction,0.9729703237563592
107,biofuel_supply,biofuel,fraction,0.8824901006941632
108,biofuel_supply,biofuel,fraction,0.9545513398631776
109,biofuel_supply,biofuel,fraction,0.898734249465448
110,biofuel_supply,biofuel,fraction,0.9316807174434122
111,biofuel_supply,biofuel,fraction,0.06435161162851888
112,biofuel_supply,biofuel,fraction,0.545156578842044
113,biofuel_supply,biofuel,fraction,0.09987903803510921
114,biofuel_supply,biofuel,fraction,0.43757102954602506
115,biofuel_supply,biofuel,fraction,0.14076771569913735
116,biofuel_supply,biofuel,fraction,0.42487406710504455
117,biofuel_supply,biofuel,fraction,0.208213279095892
118,biofuel_supply,biofuel,fraction,0.6609843493335247
119,biofuel_supply,biofuel,fraction,0.09181496074366119
120,biofuel_supply,biofuel,fraction,0.4775091735161017
121,biofuel_supply,biofuel,fraction,1.0003202480562463
122,biofuel_supply,biofuel,fraction,1.0004011829627357
123,biofuel_supply,biofuel,fraction,1.0003458453411678
124,biofuel_supply,biofuel,fraction,1.0002513127680503
125,biofuel_supply,biofuel,fraction,1.000392602289768
126,biofuel_supply,biofuel,fraction,1.0000614682884552
127,biofuel_supply,biofuel,fraction,1.0003073718771036
128,biofuel_supply,biofuel,fraction,1.0000485551562743
129,biofuel_supply,biofuel,fraction,1.000933044789051
130,biofuel_supply,biofuel,fraction,1.000046304314091
131,biofuel_supply,biofuel,fraction,0.061960302167041945
132,biofuel_supply,biofuel,fraction,0.28952493300359206
133,biofuel_supply,biofuel,fraction,0.21900322518522125
134,biofuel_supply,biofuel,fraction,0.2149619074296264
135,biofuel_supply,biofuel,fraction,0.09311844958974955
136,biofuel_supply,biofuel,fraction,0.4384265843202639
137,biofuel_supply,biofuel,fraction,0.08316202313869614
138,biofuel_supply,biofuel,fraction,0.5077718924212828
139,biofuel_supply,biofuel,fraction,0.08201276268929937
140,biofuel_supply,biofuel,fraction,0.35957327368479364
141,biofuel_supply,biofuel,fraction,0.8592850903241266
142,biofuel_supply,biofuel,fraction,0.8083263292455146
143,biofuel_supply,biofuel,fraction,0.8432092197443084
144,biofuel_supply,biofuel,fraction,0.7969882869842443
145,biofuel_supply,biofuel,fraction,0.8528044484834484
146,biofuel_supply,biofuel,fraction,0.8104068116800618
147,biofuel_supply,biofuel,fraction,0.855804609022722
148,biofuel_supply,biofuel,fraction,0.8030376912240254
149,biofuel_supply,biofuel,fraction,0.8650091306164323
150,biofuel_supply,biofuel,fraction,0.8066582977640141
151,biofuel_supply,biofuel,fraction,0.8231139840820028
152,biofuel_supply,biofuel,fraction,0.8231505537713087
153,biofuel_supply,biofuel,fraction,0.8231459698851146
154,biofuel_supply,biofuel,fraction,0.8231839820829161
155,biofuel_supply,biofuel,fraction,0.8231977479012955
156,biofuel_supply,biofuel,fraction,0.8231489140438633
157,biofuel_supply,biofuel,fraction,0.8231995857404476
158,biofuel_supply,biofuel,fraction,0.8231668417185496
159,biofuel_supply,biofuel,fraction,0.8231968831053711
160,biofuel_supply,biofuel,fraction,0.8231763366909501
161,biofuel_supply,biofuel,fraction,0.8230918827902722
162,biofuel_supply,biofuel,fraction,0.8230917625086107
163,biofuel_supply,biofuel,fraction,0.8229367056919944
164,biofuel_supply,biofuel,fraction,0.8231598442959442
165,biofuel_supply,biofuel,fraction,0.8230276794400962
166,biofuel_supply,biofuel,fraction,0.8231035568765565
167,biofuel_supply,biofuel,fraction,0.8230324415777391
168,biofuel_supply,biofuel,fraction,0.8230174010409016
169,biofuel_supply,biofuel,fraction,0.8230821989737185
170,biofuel_supply,biofuel,fraction,0.823178148220604
171,biofuel_supply,biofuel,fraction,0.5703640324260644
172,biofuel_supply,biofuel,fraction,0.5709248684606381
173,biofuel_supply,biofuel,fraction,0.5706086441286845
174,biofuel_supply,biofuel,fraction,0.5707398817750183
175,biofuel_supply,biofuel,fraction,0.5707361356374655
176,biofuel_supply,biofuel,fraction,0.5707473924028748
177,biofuel_supply,biofuel,fraction,0.5707314473276242
178,biofuel_supply,biofuel,fraction,0.5706584249106245
179,biofuel_supply,biofuel,fraction,0.5708166730863028
180,biofuel_supply,biofuel,fraction,0.5707216769601672
181,biofuel_supply,biofuel,fraction,0.570127050212091
182,biofuel_supply,biofuel,fraction,0.570216699765583
183,biofuel_supply,biofuel,fraction,0.570152244699475
184,biofuel_supply,biofuel,fraction,0.5701590799667609
185,biofuel_supply,biofuel,fraction,0.5701618260199556
186,biofuel_supply,biofuel,fraction,0.570160359475314
187,biofuel_supply,biofuel,fraction,0.570124896759006
188,biofuel_supply,biofuel,fraction,0.5701424262981691
189,biofuel_supply,biofuel,fraction,0.5701689150182506
190,biofuel_supply,biofuel,fraction,0.5701582250604932
191,biofuel_supply,biofuel,fraction,0.5701527543395404
192,biofuel_supply,biofuel,fraction,0.5701321839397893
193,biofuel_supply,biofuel,fraction,0.570159039223989
194,biofuel_supply,biofuel,fraction,0.5701409133454259
195,biofuel_supply,biofuel,fraction,0.5701497541101548
196,biofuel_supply,biofuel,fraction,0.5701273383096316
197,biofuel_supply,biofuel,fraction,0.570131784501116
198,biofuel_supply,biofuel,fraction,0.5701418242214044
199,biofuel_supply,biofuel,fraction,0.5701938887952203
200,biofuel_supply,biofuel,fraction,0.5701444729353166
201,biofuel_supply,biofuel,fraction,0.7659787711911777
202,biofuel_supply,biofuel,fraction,0.822988320122465
203,biofuel_supply,biofuel,fraction,0.8231115562572296
204,biofuel_supply,biofuel,fraction,0.8230686003865182
205,biofuel_supply,biofuel,fraction,0.8231454817393622
206,biofuel_supply,biofuel,fraction,0.8230346574314865
207,biofuel_supply,biofuel,fraction,0.8229979319819344
208,biofuel_supply,biofuel,fraction,0.8230274905796824
209,biofuel_supply,biofuel,fraction,0.8230681884567955
210,biofuel_supply,biofuel,fraction,0.8231338835610256
211,biofuel_supply,biofuel,fraction,0.5508382912370434
212,biofuel_supply,biofuel,fraction,0.5540290503775118
213,biofuel_supply,biofuel,fraction,0.5536561932395357
214,biofuel_supply,biofuel,fraction,0.5535275320362627
215,biofuel_supply,biofuel,fraction,0.5539351297007911
216,biofuel_supply,biofuel,fraction,0.5537679340177346
217,biofuel_supply,biofuel,fraction,0.5537339237915642
218,biofuel_supply,biofuel,fraction,0.5535869203566897
219,biofuel_supply,biofuel,fraction,0.553923188334932
220,biofuel_supply,biofuel,fraction,0.5553482881001577
221,biofuel_supply,biofuel,fraction,0.06218256991164922
222,biofuel_supply,biofuel,fraction,0.2648465183977552
223,biofuel_supply,biofuel,fraction,0.2386837326502228
