spores,unit,deployment_acceleration_rate
0,non-dimensional,8.089425633075022
1,non-dimensional,6.582621099900612
2,non-dimensional,3.7292118616145107
3,non-dimensional,4.25348724174246
4,non-dimensional,3.89421898137887
5,non-dimensional,4.020260046091668
6,non-dimensional,4.178839900038492
7,non-dimensional,3.948004116292392
8,non-dimensional,4.287532876391808
9,non-dimensional,4.372731752486365
10,non-dimensional,4.5857199263321435
11,non-dimensional,5.322106448249257
12,non-dimensional,5.121533283360474
13,non-dimensional,5.171743881150243
14,non-dimensional,5.3699915380512255
15,non-dimensional,5.415537247429549
16,non-dimensional,5.324001472602685
17,non-dimensional,6.075153341541999
18,non-dimensional,6.062290363782109
19,non-dimensional,5.9297372256566465
20,non-dimensional,5.408323449407118
21,non-dimensional,5.388472203390504
22,non-dimensional,5.548798979761839
23,non-dimensional,5.502492110369633
24,non-dimensional,5.586272968257345
25,non-dimensional,5.9079090067993105
26,non-dimensional,5.856515543084488
27,non-dimensional,5.637900086834922
28,non-dimensional,5.543833505792724
29,non-dimensional,5.761551369696385
30,non-dimensional,5.587838820781156
31,non-dimensional,5.948791547681481
32,non-dimensional,6.074130763100432
33,non-dimensional,5.861412196390831
34,non-dimensional,5.987546277968173
35,non-dimensional,5.701146890567388
36,non-dimensional,5.331247795044999
37,non-dimensional,4.841480077974824
38,non-dimensional,4.619321937772943
39,non-dimensional,4.268638306776587
40,non-dimensional,4.286341328227398
41,non-dimensional,4.133958988134631
42,non-dimensional,4.17242768000437
43,non-dimensional,4.213762765161988
44,non-dimensional,4.7062569975982065
45,non-dimensional,5.0701349306851675
46,non-dimensional,5.110077124753786
47,non-dimensional,5.130845924671684
48,non-dimensional,5.153592115428344
49,non-dimensional,5.106849376503463
50,non-dimensional,5.043008134738498
51,non-dimensional,8.020973628902844
52,non-dimensional,7.029290284225499
53,non-dimensional,8.066139516377781
54,non-dimensional,7.028569265437546
55,non-dimensional,8.007626901059309
56,non-dimensional,7.029439134205693
57,non-dimensional,8.02586933734652
58,non-dimensional,7.027906314237868
59,non-dimensional,8.024935846808473
60,non-dimensional,7.028906748367343
61,non-dimensional,6.592758374374098
62,non-dimensional,6.159055172694744
63,non-dimensional,6.609194310328479
64,non-dimensional,6.2601073105870455
65,non-dimensional,6.600681908457471
66,non-dimensional,6.281692258800153
67,non-dimensional,6.598288980135215
68,non-dimensional,6.27521401545098
69,non-dimensional,6.595153342551247
70,non-dimensional,6.292193964844722
71,non-dimensional,6.670234399811039
72,non-dimensional,6.300917424162791
73,non-dimensional,6.65671184721952
74,non-dimensional,6.397416270305786
75,non-dimensional,6.594993773437595
76,non-dimensional,6.395680686118072
77,non-dimensional,6.565784532898647
78,non-dimensional,6.412693681409084
79,non-dimensional,6.538755561435448
80,non-dimensional,6.410894166575682
81,non-dimensional,4.11940891516728
82,non-dimensional,4.201928488602991
83,non-dimensional,4.105513498896608
84,non-dimensional,4.175962330374655
85,non-dimensional,4.106279557670697
86,non-dimensional,4.176020479508905
87,non-dimensional,4.106022969167338
88,non-dimensional,4.175966187286906
