spores,locs,carriers,unit,electrification_rate_heat_building
0,PRT_1,heat,fraction,0.0016039933730125117
0,PRT_2,heat,fraction,0.999951550917026
1,PRT_1,heat,fraction,0.9998941487881751
1,PRT_2,heat,fraction,0.9999010194440591
2,PRT_1,heat,fraction,0.997651262681322
2,PRT_2,heat,fraction,0.999752444507498
3,PRT_1,heat,fraction,0.9967388952782164
3,PRT_2,heat,fraction,0.9999289201557688
4,PRT_1,heat,fraction,0.9955190900569296
4,PRT_2,heat,fraction,0.9998469994251877
5,PRT_1,heat,fraction,0.9777201930804464
5,PRT_2,heat,fraction,0.9998983580912886
6,PRT_1,heat,fraction,0.5128153849438893
6,PRT_2,heat,fraction,0.9998223489879512
7,PRT_1,heat,fraction,0.9345202738324419
7,PRT_2,heat,fraction,0.9997111143175574
8,PRT_1,heat,fraction,0.5115304158356512
8,PRT_2,heat,fraction,0.9997900217377133
9,PRT_1,heat,fraction,0.34754024901193337
9,PRT_2,heat,fraction,0.9996991445772383
10,PRT_1,heat,fraction,0.5152635044918413
10,PRT_2,heat,fraction,0.9997583964793377
11,PRT_1,heat,fraction,0.9887744536968512
11,PRT_2,heat,fraction,0.99873835263866
12,PRT_1,heat,fraction,0.9837915579717017
12,PRT_2,heat,fraction,0.9993572682866375
13,PRT_1,heat,fraction,0.9917425391273789
13,PRT_2,heat,fraction,0.9980140220098648
14,PRT_1,heat,fraction,0.9906046008275871
14,PRT_2,heat,fraction,0.9950165273607982
15,PRT_1,heat,fraction,0.9848670526451698
15,PRT_2,heat,fraction,0.9951035493714993
16,PRT_1,heat,fraction,0.967737003950647
16,PRT_2,heat,fraction,0.9984363589319999
17,PRT_1,heat,fraction,0.9245085398548558
17,PRT_2,heat,fraction,0.9983993198175837
18,PRT_1,heat,fraction,0.9270004719274687
18,PRT_2,heat,fraction,0.9935940391861676
19,PRT_1,heat,fraction,0.9790514595622941
19,PRT_2,heat,fraction,0.997387398840518
20,PRT_1,heat,fraction,0.9942219664639068
20,PRT_2,heat,fraction,0.9996001251326655
21,PRT_1,heat,fraction,0.9862008008701121
21,PRT_2,heat,fraction,0.9974589838797445
22,PRT_1,heat,fraction,0.9924500334491468
22,PRT_2,heat,fraction,0.9990515828408544
23,PRT_1,heat,fraction,0.9180756591650705
23,PRT_2,heat,fraction,0.9893557442484998
24,PRT_1,heat,fraction,0.9899771197295789
24,PRT_2,heat,fraction,0.9987636278110404
25,PRT_1,heat,fraction,0.9890046080658312
25,PRT_2,heat,fraction,0.9963617302452383
26,PRT_1,heat,fraction,0.8568903981269788
26,PRT_2,heat,fraction,0.9912874424689212
27,PRT_1,heat,fraction,0.9938743013653626
27,PRT_2,heat,fraction,0.9974554217944698
28,PRT_1,heat,fraction,0.991314415627132
28,PRT_2,heat,fraction,0.9967768760826639
29,PRT_1,heat,fraction,0.9341023389696791
29,PRT_2,heat,fraction,0.9809637994700836
30,PRT_1,heat,fraction,0.9375331797699344
30,PRT_2,heat,fraction,0.9899048615836189
31,PRT_1,heat,fraction,0.9835365745101403
31,PRT_2,heat,fraction,0.9916343042206691
32,PRT_1,heat,fraction,0.9871131857408469
32,PRT_2,heat,fraction,0.9989633348127316
33,PRT_1,heat,fraction,0.945611296350211
33,PRT_2,heat,fraction,0.9978023495715964
34,PRT_1,heat,fraction,0.9919901208737294
34,PRT_2,heat,fraction,0.9987079957371221
35,PRT_1,heat,fraction,0.9897020349337782
35,PRT_2,heat,fraction,0.9985408710782897
36,PRT_1,heat,fraction,0.9853232299220234
36,PRT_2,heat,fraction,0.996197922029183
37,PRT_1,heat,fraction,0.9838964553888483
37,PRT_2,heat,fraction,0.9991793777885032
38,PRT_1,heat,fraction,0.987598181339289
38,PRT_2,heat,fraction,0.9996064666747566
39,PRT_1,heat,fraction,0.9963839417870586
39,PRT_2,heat,fraction,0.9985472977805533
40,PRT_1,heat,fraction,0.9552014162409282
40,PRT_2,heat,fraction,0.9942563922966787
41,PRT_1,heat,fraction,0.9660106760341242
41,PRT_2,heat,fraction,0.9983537291463692
42,PRT_1,heat,fraction,0.9835082015836782
42,PRT_2,heat,fraction,0.9971527017155989
43,PRT_1,heat,fraction,0.9800297828052964
43,PRT_2,heat,fraction,0.9948676060144379
44,PRT_1,heat,fraction,0.9518053539385114
44,PRT_2,heat,fraction,0.9852463594718543
45,PRT_1,heat,fraction,0.9908874577561497
45,PRT_2,heat,fraction,0.9970395748310324
46,PRT_1,heat,fraction,0.993002424637682
46,PRT_2,heat,fraction,0.9980251127329698
47,PRT_1,heat,fraction,0.9890712210351732
47,PRT_2,heat,fraction,0.9981196039330968
48,PRT_1,heat,fraction,0.9911285440074075
48,PRT_2,heat,fraction,0.9980820312777338
49,PRT_1,heat,fraction,0.982881037962245
49,PRT_2,heat,fraction,0.9968606204801425
50,PRT_1,heat,fraction,0.9683012470458535
50,PRT_2,heat,fraction,0.9932844738797594
51,PRT_1,heat,fraction,0.9999643825766247
51,PRT_2,heat,fraction,0.9999625734718137
52,PRT_1,heat,fraction,0.9998899076155552
52,PRT_2,heat,fraction,0.9998789972239461
53,PRT_1,heat,fraction,0.9998741668746822
53,PRT_2,heat,fraction,0.9998628844445054
54,PRT_1,heat,fraction,0.9998916793544318
54,PRT_2,heat,fraction,0.9998840512690416
55,PRT_1,heat,fraction,0.9999900130646665
55,PRT_2,heat,fraction,0.999989205302616
56,PRT_1,heat,fraction,0.9998943857319468
56,PRT_2,heat,fraction,0.9998834823268856
57,PRT_1,heat,fraction,0.9999528625623673
57,PRT_2,heat,fraction,0.9999485891045655
58,PRT_1,heat,fraction,0.9998965859185073
58,PRT_2,heat,fraction,0.9998902287773236
59,PRT_1,heat,fraction,0.9999554885362069
59,PRT_2,heat,fraction,0.9999528876409888
60,PRT_1,heat,fraction,0.9998938159359132
60,PRT_2,heat,fraction,0.9998868694225181
61,PRT_1,heat,fraction,0.9996183846137946
61,PRT_2,heat,fraction,0.9995496379339964
62,PRT_1,heat,fraction,0.9439908479816922
62,PRT_2,heat,fraction,0.9243442034536327
63,PRT_1,heat,fraction,0.989904456724729
63,PRT_2,heat,fraction,0.9880482267081753
64,PRT_1,heat,fraction,0.9561140354635485
64,PRT_2,heat,fraction,0.9412661640452619
65,PRT_1,heat,fraction,0.9839985740312848
65,PRT_2,heat,fraction,0.9875279925524691
66,PRT_1,heat,fraction,0.9719690763759099
66,PRT_2,heat,fraction,0.9386080998636525
67,PRT_1,heat,fraction,0.9738663330030815
67,PRT_2,heat,fraction,0.9867734187436442
68,PRT_1,heat,fraction,0.9678557168219234
68,PRT_2,heat,fraction,0.9367870607563973
69,PRT_1,heat,fraction,0.9786742539321914
69,PRT_2,heat,fraction,0.9873300976650059
70,PRT_1,heat,fraction,0.9703933253145265
70,PRT_2,heat,fraction,0.9405142471781981
71,PRT_1,heat,fraction,0.9995597043124521
71,PRT_2,heat,fraction,0.9995955390246936
72,PRT_1,heat,fraction,0.9427948139021006
72,PRT_2,heat,fraction,0.9199709549091204
73,PRT_1,heat,fraction,0.9875418783594465
73,PRT_2,heat,fraction,0.9890619853812839
74,PRT_1,heat,fraction,0.9685848858830559
74,PRT_2,heat,fraction,0.9358175621283291
75,PRT_1,heat,fraction,0.966404442103918
75,PRT_2,heat,fraction,0.984116392960756
76,PRT_1,heat,fraction,0.9780006028742448
76,PRT_2,heat,fraction,0.9348113613517749
77,PRT_1,heat,fraction,0.9649213082285302
77,PRT_2,heat,fraction,0.9819422214399293
78,PRT_1,heat,fraction,0.9769968110137346
78,PRT_2,heat,fraction,0.9374019067853919
79,PRT_1,heat,fraction,0.9663646494280304
79,PRT_2,heat,fraction,0.9807927229831647
80,PRT_1,heat,fraction,0.9786039646436001
80,PRT_2,heat,fraction,0.938046173000877
81,PRT_1,heat,fraction,0.9995086493246409
81,PRT_2,heat,fraction,0.9999885091095757
82,PRT_1,heat,fraction,8.877275116319729e-05
82,PRT_2,heat,fraction,0.9999929415274298
83,PRT_1,heat,fraction,0.0010320316101616888
83,PRT_2,heat,fraction,0.9999178841349619
84,PRT_1,heat,fraction,0.00011389653416386995
84,PRT_2,heat,fraction,0.9999907141291993
85,PRT_1,heat,fraction,0.0001663606030760041
85,PRT_2,heat,fraction,0.9999862925786075
86,PRT_1,heat,fraction,9.085784341855643e-05
86,PRT_2,heat,fraction,0.9999931710063814
87,PRT_1,heat,fraction,0.0001620670110382871
87,PRT_2,heat,fraction,0.9999879734414394
88,PRT_1,heat,fraction,0.00015830783415018792
88,PRT_2,heat,fraction,0.9999880524465024
89,PRT_1,heat,fraction,0.0001073342224267143
