spores,locs,carriers,unit,electrification_rate_road_transport
0,PRT_1,transport,fraction,0.9999982441348771
0,PRT_2,transport,fraction,0.9999989487778782
1,PRT_1,transport,fraction,0.9999923731261929
1,PRT_2,transport,fraction,0.9999931844797897
2,PRT_1,transport,fraction,0.9999059017157863
2,PRT_2,transport,fraction,0.9999814356950592
3,PRT_1,transport,fraction,0.9998144551362002
3,PRT_2,transport,fraction,0.9999939066700552
4,PRT_1,transport,fraction,0.999937976186751
4,PRT_2,transport,fraction,0.9999899956298519
5,PRT_1,transport,fraction,0.9998476496317523
5,PRT_2,transport,fraction,0.9999894082669161
6,PRT_1,transport,fraction,0.9998992570746378
6,PRT_2,transport,fraction,0.9999914188291895
7,PRT_1,transport,fraction,0.9999204134473001
7,PRT_2,transport,fraction,0.9999749506001975
8,PRT_1,transport,fraction,0.9999638795582494
8,PRT_2,transport,fraction,0.9999867182687746
9,PRT_1,transport,fraction,0.999937681135193
9,PRT_2,transport,fraction,0.9999804702578255
10,PRT_1,transport,fraction,0.9999485489616183
10,PRT_2,transport,fraction,0.9999871249682116
11,PRT_1,transport,fraction,0.9997321268483297
11,PRT_2,transport,fraction,0.999892450153447
12,PRT_1,transport,fraction,0.9893211305374876
12,PRT_2,transport,fraction,0.9999173749049034
13,PRT_1,transport,fraction,0.9996660055827596
13,PRT_2,transport,fraction,0.9998274737426222
14,PRT_1,transport,fraction,0.9995311141306299
14,PRT_2,transport,fraction,0.9996820702501268
15,PRT_1,transport,fraction,0.9993360063178938
15,PRT_2,transport,fraction,0.9996251294461782
16,PRT_1,transport,fraction,0.9996846492789176
16,PRT_2,transport,fraction,0.9998550638678838
17,PRT_1,transport,fraction,0.9999658810915236
17,PRT_2,transport,fraction,0.9998922526228005
18,PRT_1,transport,fraction,0.9993848028576969
18,PRT_2,transport,fraction,0.9997106678425138
19,PRT_1,transport,fraction,0.9994562908086732
19,PRT_2,transport,fraction,0.9997681064075666
20,PRT_1,transport,fraction,0.9899018194768711
20,PRT_2,transport,fraction,0.9999540639829384
21,PRT_1,transport,fraction,0.9995976942727236
21,PRT_2,transport,fraction,0.999827638963135
22,PRT_1,transport,fraction,0.999843085564154
22,PRT_2,transport,fraction,0.9999342919765277
23,PRT_1,transport,fraction,0.9989704245075861
23,PRT_2,transport,fraction,0.9996065820968741
24,PRT_1,transport,fraction,0.9996289862416432
24,PRT_2,transport,fraction,0.999858350608206
25,PRT_1,transport,fraction,0.9995652228569836
25,PRT_2,transport,fraction,0.9996848008962009
26,PRT_1,transport,fraction,0.9994088319055534
26,PRT_2,transport,fraction,0.9996449265874032
27,PRT_1,transport,fraction,0.9995107268984812
27,PRT_2,transport,fraction,0.99970409165312
28,PRT_1,transport,fraction,0.9995084151034931
28,PRT_2,transport,fraction,0.9997116502655125
29,PRT_1,transport,fraction,0.9980765686264839
29,PRT_2,transport,fraction,0.9991076228692317
30,PRT_1,transport,fraction,0.9990009172060218
30,PRT_2,transport,fraction,0.9995756128099212
31,PRT_1,transport,fraction,0.9992414037415104
31,PRT_2,transport,fraction,0.9993604461987273
32,PRT_1,transport,fraction,0.9997167637897687
32,PRT_2,transport,fraction,0.9998795601760196
33,PRT_1,transport,fraction,0.998362896865194
33,PRT_2,transport,fraction,0.9997908909468665
34,PRT_1,transport,fraction,0.9998246944216167
34,PRT_2,transport,fraction,0.9999088351356578
35,PRT_1,transport,fraction,0.9996646147323506
35,PRT_2,transport,fraction,0.9998583032584125
36,PRT_1,transport,fraction,0.9997224908944836
36,PRT_2,transport,fraction,0.9997256985409886
37,PRT_1,transport,fraction,0.999548857946152
37,PRT_2,transport,fraction,0.9998995042332525
38,PRT_1,transport,fraction,0.9994949388228493
38,PRT_2,transport,fraction,0.999961394615285
39,PRT_1,transport,fraction,0.9996742692530272
39,PRT_2,transport,fraction,0.9998099257558
40,PRT_1,transport,fraction,0.9992811400905974
40,PRT_2,transport,fraction,0.9996739367963619
41,PRT_1,transport,fraction,0.9996621395876554
