spores,techs,locs,carriers,unit,energy_supply
0,biofuel_supply,PRT_1,biofuel,twh,20.39066515251896
0,biofuel_supply,PRT_2,biofuel,twh,16.111787736830337
0,el_import,ESP-sink,electricity,twh,6.454952493619018
0,existing_pv,PRT-10_1,electricity,twh,0.3110112000922836
0,existing_pv,PRT-12_1,electricity,twh,0.1604907143469004
0,existing_pv,PRT-15_1,electricity,twh,0.3099458467631529
0,existing_pv,PRT-3_1,electricity,twh,0.8172179151759248
0,existing_pv,PRT-9_1,electricity,twh,0.1737086744355432
0,existing_wind,PRT-10_1,electricity,twh,0.3503373345550662
0,existing_wind,PRT-11_1,electricity,twh,1.4759598925706432
0,existing_wind,PRT-12_1,electricity,twh,0.3707906215308352
0,existing_wind,PRT-15_1,electricity,twh,0.3366565456530771
0,existing_wind,PRT-16_1,electricity,twh,0.1000280457168677
0,existing_wind,PRT-17_1,electricity,twh,0.2945554920654007
0,existing_wind,PRT-18_1,electricity,twh,2.4596731366179614
0,existing_wind,PRT-19_1,electricity,twh,2.0272602441186245
0,existing_wind,PRT-1_1,electricity,twh,3.6476967021947537e-07
0,existing_wind,PRT-20_1,electricity,twh,2.3539534962425144
0,existing_wind,PRT-3_1,electricity,twh,0.5114189827912448
0,existing_wind,PRT-4_1,electricity,twh,1.0197819370607395
0,existing_wind,PRT-5_1,electricity,twh,0.5008554437339012
0,existing_wind,PRT-6_1,electricity,twh,2.1221731303326514
0,existing_wind,PRT-7_1,electricity,twh,1.438099146256956
0,existing_wind,PRT-9_1,electricity,twh,0.9221562085065992
0,h2_import,ESP-sink,electricity,twh,0.0001100789657364
0,hydro_reservoir,PRT_1,electricity,twh,2.1573928478847084
0,hydro_reservoir,PRT_2,electricity,twh,0.3939407932945773
0,hydro_run_of_river,PRT_1,electricity,twh,2.519490705965859
0,hydro_run_of_river,PRT_2,electricity,twh,0.3767762103658962
0,open_field_pv,PRT-10_1,electricity,twh,0.0029369092732455
0,open_field_pv,PRT-11_1,electricity,twh,17.37397853715275
0,open_field_pv,PRT-12_1,electricity,twh,0.0006271443868033
0,open_field_pv,PRT-14_1,electricity,twh,0.0007302584761483
0,open_field_pv,PRT-15_1,electricity,twh,0.0014263629834652
0,open_field_pv,PRT-16_1,electricity,twh,0.000608558261974
0,open_field_pv,PRT-17_1,electricity,twh,0.0008126922832661
0,open_field_pv,PRT-18_1,electricity,twh,0.0003957977368629
0,open_field_pv,PRT-19_1,electricity,twh,0.0009961036418456
0,open_field_pv,PRT-20_1,electricity,twh,0.0012477329906156
0,open_field_pv,PRT-3_1,electricity,twh,0.0012491723934173
0,open_field_pv,PRT-4_1,electricity,twh,0.000457780253125
0,open_field_pv,PRT-5_1,electricity,twh,0.0016011435772975
0,open_field_pv,PRT-6_1,electricity,twh,40.96662187508712
0,open_field_pv,PRT-7_1,electricity,twh,0.001569367276178
0,open_field_pv,PRT-8_1,electricity,twh,0.0008581929821142
0,open_field_pv,PRT-9_1,electricity,twh,39.447363285148974
0,roof_mounted_pv,PRT-10_1,electricity,twh,4.259416557747609e-05
0,roof_mounted_pv,PRT-11_1,electricity,twh,4.361048576215919e-05
0,roof_mounted_pv,PRT-12_1,electricity,twh,4.5133034279152125e-05
0,roof_mounted_pv,PRT-14_1,electricity,twh,3.350721774022264e-05
0,roof_mounted_pv,PRT-15_1,electricity,twh,4.8664724625864175e-05
0,roof_mounted_pv,PRT-16_1,electricity,twh,3.7939388346501045e-05
0,roof_mounted_pv,PRT-17_1,electricity,twh,4.057502142381442e-05
0,roof_mounted_pv,PRT-18_1,electricity,twh,3.729936850702161e-05
0,roof_mounted_pv,PRT-19_1,electricity,twh,4.4258580260870605e-05
0,roof_mounted_pv,PRT-1_1,electricity,twh,2.984611966504546e-09
0,roof_mounted_pv,PRT-20_1,electricity,twh,4.062403310730279e-05
0,roof_mounted_pv,PRT-3_1,electricity,twh,4.362533612630097e-05
0,roof_mounted_pv,PRT-4_1,electricity,twh,4.1138349944589695e-05
0,roof_mounted_pv,PRT-5_1,electricity,twh,4.6627771174930405e-05
0,roof_mounted_pv,PRT-6_1,electricity,twh,3.86723974414381e-05
0,roof_mounted_pv,PRT-7_1,electricity,twh,4.1920972133481073e-05
0,roof_mounted_pv,PRT-8_1,electricity,twh,4.255277903422075e-05
0,roof_mounted_pv,PRT-9_1,electricity,twh,4.440353070887512e-05
0,waste_supply,PRT_1,waste,twh,1.0281802480947118
0,waste_supply,PRT_2,waste,twh,1.0062659697225946
0,wind_offshore,PRT-11_1,electricity,twh,8.822507017230029e-05
0,wind_offshore,PRT-12_1,electricity,twh,0.0001031150804588
0,wind_offshore,PRT-15_1,electricity,twh,6.270854968623828e-05
0,wind_offshore,PRT-16_1,electricity,twh,7.403617992224359e-05
0,wind_offshore,PRT-17_1,electricity,twh,8.485361402917151e-05
0,wind_offshore,PRT-18_1,electricity,twh,6.663842684947671e-05
0,wind_offshore,PRT-1_1,electricity,twh,3.372400206299344e-07
0,wind_offshore,PRT-20_1,electricity,twh,2.377128106193383e-05
0,wind_offshore,PRT-3_1,electricity,twh,8.402683214455602e-05
0,wind_offshore,PRT-4_1,electricity,twh,6.320903202748667e-05
0,wind_offshore,PRT-7_1,electricity,twh,6.714076852269385e-05
0,wind_offshore,PRT-9_1,electricity,twh,0.0001189485550318
0,wind_onshore,PRT-10_1,electricity,twh,0.0009953688742242
0,wind_onshore,PRT-11_1,electricity,twh,0.0012318112251628
0,wind_onshore,PRT-12_1,electricity,twh,0.0018403467301539
0,wind_onshore,PRT-14_1,electricity,twh,0.0017118014962592
0,wind_onshore,PRT-15_1,electricity,twh,0.0003226440553903
0,wind_onshore,PRT-16_1,electricity,twh,0.0013833209510181
0,wind_onshore,PRT-17_1,electricity,twh,0.0020602313982547
0,wind_onshore,PRT-18_1,electricity,twh,0.0005955911769345
0,wind_onshore,PRT-19_1,electricity,twh,0.0004548322104225
0,wind_onshore,PRT-1_1,electricity,twh,7.443503981081975e-07
0,wind_onshore,PRT-20_1,electricity,twh,0.0005423746247082
0,wind_onshore,PRT-3_1,electricity,twh,0.0026258885113971
0,wind_onshore,PRT-4_1,electricity,twh,0.0005022735065846
0,wind_onshore,PRT-5_1,electricity,twh,0.0005600597588405
0,wind_onshore,PRT-6_1,electricity,twh,0.0011490943149873
0,wind_onshore,PRT-7_1,electricity,twh,0.000612100104942
0,wind_onshore,PRT-8_1,electricity,twh,0.0018422464202072
0,wind_onshore,PRT-9_1,electricity,twh,56.15625189463052
1,biofuel_supply,PRT_1,biofuel,twh,2.9004790864241627
1,biofuel_supply,PRT_2,biofuel,twh,1.771843213141976
1,el_import,ESP-sink,electricity,twh,11.612678404225692
1,existing_pv,PRT-10_1,electricity,twh,0.3088911113244627
1,existing_pv,PRT-12_1,electricity,twh,0.1575950571167478
1,existing_pv,PRT-15_1,electricity,twh,0.3080399655595987
1,existing_pv,PRT-3_1,electricity,twh,0.8143626371889456
1,existing_pv,PRT-9_1,electricity,twh,0.1704815371071208
1,existing_wind,PRT-10_1,electricity,twh,0.3466824557423658
1,existing_wind,PRT-11_1,electricity,twh,1.4738023492973729
1,existing_wind,PRT-12_1,electricity,twh,0.3439913722486822
1,existing_wind,PRT-15_1,electricity,twh,0.3260046241968011
1,existing_wind,PRT-16_1,electricity,twh,0.0813909873525355
1,existing_wind,PRT-17_1,electricity,twh,0.2846379703973504
1,existing_wind,PRT-18_1,electricity,twh,2.457644463924295
1,existing_wind,PRT-19_1,electricity,twh,2.0252854346998816
1,existing_wind,PRT-1_1,electricity,twh,0.0001141691719025
1,existing_wind,PRT-20_1,electricity,twh,2.3519380810491746
1,existing_wind,PRT-3_1,electricity,twh,0.4768194007212322
1,existing_wind,PRT-4_1,electricity,twh,1.0175999908699846
1,existing_wind,PRT-5_1,electricity,twh,0.4976782420946681
1,existing_wind,PRT-6_1,electricity,twh,2.105229167097301
1,existing_wind,PRT-7_1,electricity,twh,1.4364574222099245
1,existing_wind,PRT-9_1,electricity,twh,0.8712090342385423
1,h2_import,ESP-sink,electricity,twh,0.0008064723075168
1,hydro_reservoir,PRT_1,electricity,twh,2.159077623156326
1,hydro_reservoir,PRT_2,electricity,twh,0.3940785974214926
1,hydro_run_of_river,PRT_1,electricity,twh,2.261485451313285
1,hydro_run_of_river,PRT_2,electricity,twh,0.3313228659952011
1,open_field_pv,PRT-10_1,electricity,twh,42.08234020271546
1,open_field_pv,PRT-11_1,electricity,twh,9.790230673552892e-05
1,open_field_pv,PRT-12_1,electricity,twh,0.0034793810850113
1,open_field_pv,PRT-14_1,electricity,twh,0.0046330170917341
1,open_field_pv,PRT-15_1,electricity,twh,0.0512808720837188
1,open_field_pv,PRT-16_1,electricity,twh,0.0035276806025629
1,open_field_pv,PRT-17_1,electricity,twh,0.0074576262687245
1,open_field_pv,PRT-18_1,electricity,twh,0.0031768685648854
1,open_field_pv,PRT-19_1,electricity,twh,0.0036687739467706
1,open_field_pv,PRT-20_1,electricity,twh,0.0061271652087317
1,open_field_pv,PRT-3_1,electricity,twh,29.169669590097516
1,open_field_pv,PRT-4_1,electricity,twh,0.0043050779097775
1,open_field_pv,PRT-5_1,electricity,twh,0.0083811345582723
1,open_field_pv,PRT-6_1,electricity,twh,8.334107653034382e-05
1,open_field_pv,PRT-7_1,electricity,twh,0.0511939248534161
1,open_field_pv,PRT-8_1,electricity,twh,0.0077487792971997
1,open_field_pv,PRT-9_1,electricity,twh,0.0001008314397107
1,roof_mounted_pv,PRT-10_1,electricity,twh,0.0002313249053029
1,roof_mounted_pv,PRT-11_1,electricity,twh,0.0002424179622723
1,roof_mounted_pv,PRT-12_1,electricity,twh,0.000266609036147
1,roof_mounted_pv,PRT-14_1,electricity,twh,0.0002343437383
1,roof_mounted_pv,PRT-15_1,electricity,twh,0.0002477479954713
1,roof_mounted_pv,PRT-16_1,electricity,twh,0.0002321320663741
1,roof_mounted_pv,PRT-17_1,electricity,twh,0.0002398187595811
1,roof_mounted_pv,PRT-18_1,electricity,twh,0.0002159479149121
1,roof_mounted_pv,PRT-19_1,electricity,twh,0.0002222707711424
1,roof_mounted_pv,PRT-1_1,electricity,twh,6.042250568713217e-07
1,roof_mounted_pv,PRT-20_1,electricity,twh,0.0002263600670882
1,roof_mounted_pv,PRT-3_1,electricity,twh,0.0002444408362815
1,roof_mounted_pv,PRT-4_1,electricity,twh,0.0002198639477785
1,roof_mounted_pv,PRT-5_1,electricity,twh,0.0002282515106395
1,roof_mounted_pv,PRT-6_1,electricity,twh,0.0002105118685433
1,roof_mounted_pv,PRT-7_1,electricity,twh,0.0002310923362965
1,roof_mounted_pv,PRT-8_1,electricity,twh,0.0002382631274043
1,roof_mounted_pv,PRT-9_1,electricity,twh,0.0002780766634069
1,waste_supply,PRT_1,waste,twh,1.02834340170035
1,waste_supply,PRT_2,waste,twh,1.0064291233276004
1,wind_offshore,PRT-11_1,electricity,twh,0.0004509999965378
1,wind_offshore,PRT-12_1,electricity,twh,0.0004926680378105
1,wind_offshore,PRT-15_1,electricity,twh,0.0003480144313074
1,wind_offshore,PRT-16_1,electricity,twh,0.0004134191431565
1,wind_offshore,PRT-17_1,electricity,twh,0.000433755359914
1,wind_offshore,PRT-18_1,electricity,twh,0.0003746449686003
1,wind_offshore,PRT-1_1,electricity,twh,5.952062469003002e-05
1,wind_offshore,PRT-20_1,electricity,twh,0.0003554927780181
1,wind_offshore,PRT-3_1,electricity,twh,0.0004451643410774
1,wind_offshore,PRT-4_1,electricity,twh,0.0003602397361407
1,wind_offshore,PRT-7_1,electricity,twh,0.000367644304933
1,wind_offshore,PRT-9_1,electricity,twh,0.0005426704893061
1,wind_onshore,PRT-10_1,electricity,twh,0.0143992482000412
1,wind_onshore,PRT-11_1,electricity,twh,19.040452897793976
1,wind_onshore,PRT-12_1,electricity,twh,6.979516874373905
1,wind_onshore,PRT-14_1,electricity,twh,0.0335747576345432
1,wind_onshore,PRT-15_1,electricity,twh,0.0034047039829705
1,wind_onshore,PRT-16_1,electricity,twh,0.010088948054447
1,wind_onshore,PRT-17_1,electricity,twh,0.0207329522331354
1,wind_onshore,PRT-18_1,electricity,twh,0.0089076996300978
1,wind_onshore,PRT-19_1,electricity,twh,0.0022698370959979
1,wind_onshore,PRT-1_1,electricity,twh,9.384014445865368e-05
1,wind_onshore,PRT-20_1,electricity,twh,0.0032810825921051
1,wind_onshore,PRT-3_1,electricity,twh,24.654955179071287
1,wind_onshore,PRT-4_1,electricity,twh,0.0050976775924619
1,wind_onshore,PRT-5_1,electricity,twh,0.0031657753928149
1,wind_onshore,PRT-6_1,electricity,twh,16.49197911010677
1,wind_onshore,PRT-7_1,electricity,twh,0.0046909665107672
1,wind_onshore,PRT-8_1,electricity,twh,8.273316434169997
1,wind_onshore,PRT-9_1,electricity,twh,0.0005574211232212
2,biofuel_supply,PRT_1,biofuel,twh,15.45423847595681
2,biofuel_supply,PRT_2,biofuel,twh,16.120208793188333
2,el_import,ESP-sink,electricity,twh,21.566956494682472
2,existing_pv,PRT-10_1,electricity,twh,0.3131314542782407
2,existing_pv,PRT-12_1,electricity,twh,0.1596465918796044
2,existing_pv,PRT-15_1,electricity,twh,0.3102585635671973
2,existing_pv,PRT-3_1,electricity,twh,0.8162684138295977
2,existing_pv,PRT-9_1,electricity,twh,0.1725872631182879
2,existing_wind,PRT-10_1,electricity,twh,0.3509214668633716
2,existing_wind,PRT-11_1,electricity,twh,1.4764848597983509
2,existing_wind,PRT-12_1,electricity,twh,0.3614606200211011
2,existing_wind,PRT-15_1,electricity,twh,0.3375098289030817
2,existing_wind,PRT-16_1,electricity,twh,0.0949782719600286
2,existing_wind,PRT-17_1,electricity,twh,0.2881099823477767
2,existing_wind,PRT-18_1,electricity,twh,2.4600681648286318
2,existing_wind,PRT-19_1,electricity,twh,2.0276553104302053
2,existing_wind,PRT-1_1,electricity,twh,0.0004930491315849
2,existing_wind,PRT-20_1,electricity,twh,2.3543566328341186
2,existing_wind,PRT-3_1,electricity,twh,0.4977337882675608
2,existing_wind,PRT-4_1,electricity,twh,1.0203194856524005
2,existing_wind,PRT-5_1,electricity,twh,0.5015390198266199
2,existing_wind,PRT-6_1,electricity,twh,2.1231070231147333
2,existing_wind,PRT-7_1,electricity,twh,1.4385967607810328
2,existing_wind,PRT-9_1,electricity,twh,0.9143824851837627
2,h2_import,ESP-sink,electricity,twh,0.003466076765242
2,hydro_reservoir,PRT_1,electricity,twh,2.163086249954603
2,hydro_reservoir,PRT_2,electricity,twh,0.3944686156969194
2,hydro_run_of_river,PRT_1,electricity,twh,2.6806883343582504
2,hydro_run_of_river,PRT_2,electricity,twh,0.3652396277696657
2,open_field_pv,PRT-10_1,electricity,twh,0.0036938371632649
2,open_field_pv,PRT-11_1,electricity,twh,0.0050275095050565
2,open_field_pv,PRT-12_1,electricity,twh,0.0013200770340567
2,open_field_pv,PRT-14_1,electricity,twh,0.0012439278697193
2,open_field_pv,PRT-15_1,electricity,twh,0.0029216242623855
2,open_field_pv,PRT-16_1,electricity,twh,0.0011493964614218
2,open_field_pv,PRT-17_1,electricity,twh,0.0016270812574564
2,open_field_pv,PRT-18_1,electricity,twh,0.001145469842407
2,open_field_pv,PRT-19_1,electricity,twh,0.000789205927667
2,open_field_pv,PRT-20_1,electricity,twh,0.0009625709875415
2,open_field_pv,PRT-3_1,electricity,twh,0.0048792522029308
2,open_field_pv,PRT-4_1,electricity,twh,0.0013353819870299
2,open_field_pv,PRT-5_1,electricity,twh,0.0010100726244167
2,open_field_pv,PRT-6_1,electricity,twh,0.0039515287575773
2,open_field_pv,PRT-7_1,electricity,twh,0.0023343893972605
2,open_field_pv,PRT-8_1,electricity,twh,0.0015801657352641
2,open_field_pv,PRT-9_1,electricity,twh,3.8420698241177194
2,roof_mounted_pv,PRT-10_1,electricity,twh,0.0004787999404867
2,roof_mounted_pv,PRT-11_1,electricity,twh,0.000499154884187
2,roof_mounted_pv,PRT-12_1,electricity,twh,0.0005351658699321
2,roof_mounted_pv,PRT-14_1,electricity,twh,0.0005074041607042
2,roof_mounted_pv,PRT-15_1,electricity,twh,0.0004956421951955
