spores,techs,locs,carriers,unit,generated_building_heat
0,biofuel_boiler,PRT_1,heat,twh,8.969823699804301
0,biofuel_boiler,PRT_2,heat,twh,0.0003869065336186
0,electric_heater,PRT_1,heat,twh,0.0006869210341883
0,electric_heater,PRT_2,heat,twh,0.0011247557287165
0,hp,PRT_1,heat,twh,0.0137240822297887
0,hp,PRT_2,heat,twh,10.65871706364656
0,methane_boiler,PRT_1,heat,twh,0.0002184165298601
0,methane_boiler,PRT_2,heat,twh,0.0001295780503816
1,biofuel_boiler,PRT_1,heat,twh,0.0006221291585301
1,biofuel_boiler,PRT_2,heat,twh,0.000689748940665
1,electric_heater,PRT_1,heat,twh,0.001855460626615
1,electric_heater,PRT_2,heat,twh,0.0018994808811741
1,hp,PRT_1,heat,twh,9.042011919275977
1,hp,PRT_2,heat,twh,10.659904007763863
1,methane_boiler,PRT_1,heat,twh,0.0003352765057659
1,methane_boiler,PRT_2,heat,twh,0.0003656667616087
2,biofuel_boiler,PRT_1,heat,twh,0.0190440535214042
2,biofuel_boiler,PRT_2,heat,twh,0.0020092705662061
2,electric_heater,PRT_1,heat,twh,0.0032306892671956
2,electric_heater,PRT_2,heat,twh,0.0037957388983239
2,hp,PRT_1,heat,twh,8.960130053672762
2,hp,PRT_2,heat,twh,10.71385069646469
2,methane_boiler,PRT_1,heat,twh,0.0020580897477119
2,methane_boiler,PRT_2,heat,twh,0.0006445986554662
3,biofuel_boiler,PRT_1,heat,twh,0.0275040000982014
3,biofuel_boiler,PRT_2,heat,twh,0.0005579704685923
3,electric_heater,PRT_1,heat,twh,0.0015968763812558
3,electric_heater,PRT_2,heat,twh,0.0016817941119427
3,hp,PRT_1,heat,twh,8.952701539402513
3,hp,PRT_2,heat,twh,10.711572439895845
3,methane_boiler,PRT_1,heat,twh,0.0017924435163734
3,methane_boiler,PRT_2,heat,twh,0.000203580104464
4,biofuel_boiler,PRT_1,heat,twh,0.0380396109925184
4,biofuel_boiler,PRT_2,heat,twh,0.0012317053244518
4,electric_heater,PRT_1,heat,twh,0.0031529254334927
4,electric_heater,PRT_2,heat,twh,0.0031513890002174
4,hp,PRT_1,heat,twh,8.962987614372476
4,hp,PRT_2,heat,twh,10.713159845275054
4,methane_boiler,PRT_1,heat,twh,0.0023176947558687
4,methane_boiler,PRT_2,heat,twh,0.0004081473526617
5,biofuel_boiler,PRT_1,heat,twh,0.1982718073389301
5,biofuel_boiler,PRT_2,heat,twh,0.0007977141604393
5,electric_heater,PRT_1,heat,twh,0.0026857541324417
5,electric_heater,PRT_2,heat,twh,0.0030412096981576
5,hp,PRT_1,heat,twh,8.819856493332619
5,hp,PRT_2,heat,twh,10.71731526634482
5,methane_boiler,PRT_1,heat,twh,0.0027719464919294
5,methane_boiler,PRT_2,heat,twh,0.000292034097946
6,biofuel_boiler,PRT_1,heat,twh,4.382387054689326
6,biofuel_boiler,PRT_2,heat,twh,0.001300045877463
6,electric_heater,PRT_1,heat,twh,0.0025883329640012
6,electric_heater,PRT_2,heat,twh,0.0029938442020095
6,hp,PRT_1,heat,twh,4.614061767256194
6,hp,PRT_2,heat,twh,10.713327302465524
6,methane_boiler,PRT_1,heat,twh,0.0035205603301154
6,methane_boiler,PRT_2,heat,twh,0.0006040576856087
7,biofuel_boiler,PRT_1,heat,twh,0.5862578412520818
7,biofuel_boiler,PRT_2,heat,twh,0.0022143833167162
7,electric_heater,PRT_1,heat,twh,0.0048949177221128
7,electric_heater,PRT_2,heat,twh,0.0050044177194674
7,hp,PRT_1,heat,twh,8.428059159279004
7,hp,PRT_2,heat,twh,10.71340871237798
7,methane_boiler,PRT_1,heat,twh,0.0046202158724791
7,methane_boiler,PRT_2,heat,twh,0.0008829075380569
8,biofuel_boiler,PRT_1,heat,twh,4.3965091172582245
8,biofuel_boiler,PRT_2,heat,twh,0.0017031235662843
8,electric_heater,PRT_1,heat,twh,0.0033393765452049
8,electric_heater,PRT_2,heat,twh,0.0041363201645065
8,hp,PRT_1,heat,twh,4.60320199871855
8,hp,PRT_2,heat,twh,10.719469327349955
8,methane_boiler,PRT_1,heat,twh,0.0023600024500035
8,methane_boiler,PRT_2,heat,twh,0.0005490734254415
9,biofuel_boiler,PRT_1,heat,twh,5.866854634594892
9,biofuel_boiler,PRT_2,heat,twh,0.0024667624582348
9,electric_heater,PRT_1,heat,twh,0.0039473948838999
9,electric_heater,PRT_2,heat,twh,0.0049423078453481
9,hp,PRT_1,heat,twh,3.1235923517142
9,hp,PRT_2,heat,twh,10.71993278638103
9,methane_boiler,PRT_1,heat,twh,0.0046776845311435
9,methane_boiler,PRT_2,heat,twh,0.0007608454156366
10,biofuel_boiler,PRT_1,heat,twh,4.358739508748847
10,biofuel_boiler,PRT_2,heat,twh,0.0018957455177859
10,electric_heater,PRT_1,heat,twh,0.0037833379555494
10,electric_heater,PRT_2,heat,twh,0.0046685888696466
10,hp,PRT_1,heat,twh,4.635127162134378
10,hp,PRT_2,heat,twh,10.722284635860635
10,methane_boiler,PRT_1,heat,twh,0.0053367341576515
10,methane_boiler,PRT_2,heat,twh,0.0006965504551221
11,biofuel_boiler,PRT_1,heat,twh,0.0900029974546254
11,biofuel_boiler,PRT_2,heat,twh,0.0094136829680612
11,electric_heater,PRT_1,heat,twh,0.0228727720463971
11,electric_heater,PRT_2,heat,twh,0.0306774376323788
11,hp,PRT_1,heat,twh,8.902239496115847
11,hp,PRT_2,heat,twh,10.707170931822748
11,methane_boiler,PRT_1,heat,twh,0.0113237112325453
11,methane_boiler,PRT_2,heat,twh,0.0041508086988504
12,biofuel_boiler,PRT_1,heat,twh,0.1282761235147381
12,biofuel_boiler,PRT_2,heat,twh,0.0042956372972316
12,electric_heater,PRT_1,heat,twh,0.0333815305160879
12,electric_heater,PRT_2,heat,twh,0.0365790952626791
12,hp,PRT_1,heat,twh,8.844352698376328
12,hp,PRT_2,heat,twh,10.712829756405863
12,methane_boiler,PRT_1,heat,twh,0.0179888443289709
12,methane_boiler,PRT_2,heat,twh,0.0026177921519912
13,biofuel_boiler,PRT_1,heat,twh,0.057434464344208
13,biofuel_boiler,PRT_2,heat,twh,0.015201120556287
13,electric_heater,PRT_1,heat,twh,0.0530007560528825
13,electric_heater,PRT_2,heat,twh,0.057912912636709
13,hp,PRT_1,heat,twh,8.905409446299718
13,hp,PRT_2,heat,twh,10.660418181501978
13,methane_boiler,PRT_1,heat,twh,0.0171551784393995
13,methane_boiler,PRT_2,heat,twh,0.0061276074720774
14,biofuel_boiler,PRT_1,heat,twh,0.0543986539267202
14,biofuel_boiler,PRT_2,heat,twh,0.0371686073599512
14,electric_heater,PRT_1,heat,twh,0.1237974270096251
14,electric_heater,PRT_2,heat,twh,0.1307445386266262
14,hp,PRT_1,heat,twh,8.837547503259714
14,hp,PRT_2,heat,twh,10.5378586522171
14,methane_boiler,PRT_1,heat,twh,0.0305953110429761
14,methane_boiler,PRT_2,heat,twh,0.0162643665033983
15,biofuel_boiler,PRT_1,heat,twh,0.1006909287829256
15,biofuel_boiler,PRT_2,heat,twh,0.0382431092581956
15,electric_heater,PRT_1,heat,twh,0.1173073248071594
15,electric_heater,PRT_2,heat,twh,0.131056681857605
15,hp,PRT_1,heat,twh,8.750602383996481
15,hp,PRT_2,heat,twh,10.548674229955054
15,methane_boiler,PRT_1,heat,twh,0.0355686916503943
15,methane_boiler,PRT_2,heat,twh,0.0143069747691304
16,biofuel_boiler,PRT_1,heat,twh,0.264878733827998
16,biofuel_boiler,PRT_2,heat,twh,0.0104394671861916
16,electric_heater,PRT_1,heat,twh,0.0403764131969143
16,electric_heater,PRT_2,heat,twh,0.0393540332197074
16,hp,PRT_1,heat,twh,8.672829786998838
16,hp,PRT_2,heat,twh,10.67360019394296
16,methane_boiler,PRT_1,heat,twh,0.0256073549197783
16,methane_boiler,PRT_2,heat,twh,0.0063379819114309
17,biofuel_boiler,PRT_1,heat,twh,0.6518635179428673
17,biofuel_boiler,PRT_2,heat,twh,0.0117469367166907
17,electric_heater,PRT_1,heat,twh,0.0464618241711292
17,electric_heater,PRT_2,heat,twh,0.0459911227274465
17,hp,PRT_1,heat,twh,8.269534466985771
17,hp,PRT_2,heat,twh,10.760019652728005
17,methane_boiler,PRT_1,heat,twh,0.0271855935770739
17,methane_boiler,PRT_2,heat,twh,0.005577761884275
18,biofuel_boiler,PRT_1,heat,twh,0.557708062774755
18,biofuel_boiler,PRT_2,heat,twh,0.0479065534269433
18,electric_heater,PRT_1,heat,twh,0.1091590259409777
18,electric_heater,PRT_2,heat,twh,0.1247285138554296
18,hp,PRT_1,heat,twh,8.20874923265298
