spores,techs,locs,carriers,unit,generated_district_heat
0,chp_biofuel_extraction,PRT_1,heat,twh,0.000144762813917
0,chp_biofuel_extraction,PRT_2,heat,twh,0.0001265285085443
0,chp_hydrogen,PRT_1,heat,twh,6.100206466601811e-05
0,chp_hydrogen,PRT_2,heat,twh,5.2573293695781534e-05
0,chp_methane_extraction,PRT_1,heat,twh,1.8503331828819483e-05
0,chp_methane_extraction,PRT_2,heat,twh,1.363134710714388e-05
0,chp_wte_back_pressure,PRT_1,heat,twh,7.078388495556362e-06
0,chp_wte_back_pressure,PRT_2,heat,twh,7.591599732968472e-06
1,chp_biofuel_extraction,PRT_1,heat,twh,0.0006234159982952
1,chp_biofuel_extraction,PRT_2,heat,twh,0.0006664424493305
1,chp_hydrogen,PRT_1,heat,twh,0.0002920938543835
1,chp_hydrogen,PRT_2,heat,twh,0.000299635855098
1,chp_methane_extraction,PRT_1,heat,twh,0.0003057799838311
1,chp_methane_extraction,PRT_2,heat,twh,0.0003112477802678
1,chp_wte_back_pressure,PRT_1,heat,twh,7.357312324218142e-05
1,chp_wte_back_pressure,PRT_2,heat,twh,7.986288674525362e-05
2,chp_biofuel_extraction,PRT_1,heat,twh,0.0034642576820344
2,chp_biofuel_extraction,PRT_2,heat,twh,0.0022073176853381
2,chp_hydrogen,PRT_1,heat,twh,0.0006494843640755
2,chp_hydrogen,PRT_2,heat,twh,0.0007680245586537
2,chp_methane_extraction,PRT_1,heat,twh,0.0010746385267731
2,chp_methane_extraction,PRT_2,heat,twh,0.0009891126505129
2,chp_wte_back_pressure,PRT_1,heat,twh,0.0002030919313872
2,chp_wte_back_pressure,PRT_2,heat,twh,0.0002282726738521
3,chp_biofuel_extraction,PRT_1,heat,twh,0.0017457388808277
3,chp_biofuel_extraction,PRT_2,heat,twh,0.0007043054655959
3,chp_hydrogen,PRT_1,heat,twh,0.0001874985014187
3,chp_hydrogen,PRT_2,heat,twh,0.0002040357153746
3,chp_methane_extraction,PRT_1,heat,twh,0.0002130068409626
3,chp_methane_extraction,PRT_2,heat,twh,0.0001216294183117
3,chp_wte_back_pressure,PRT_1,heat,twh,6.28294009711345e-05
3,chp_wte_back_pressure,PRT_2,heat,twh,6.84091066843415e-05
4,chp_biofuel_extraction,PRT_1,heat,twh,0.0033487160719988
4,chp_biofuel_extraction,PRT_2,heat,twh,0.0014623915898948
4,chp_hydrogen,PRT_1,heat,twh,0.0003957085553195
4,chp_hydrogen,PRT_2,heat,twh,0.0004300434178333
4,chp_methane_extraction,PRT_1,heat,twh,0.0005035335676567
4,chp_methane_extraction,PRT_2,heat,twh,0.0003884816696273
4,chp_wte_back_pressure,PRT_1,heat,twh,0.0001414711092494
4,chp_wte_back_pressure,PRT_2,heat,twh,0.0001490945186441
5,chp_biofuel_extraction,PRT_1,heat,twh,0.0033631919383267
5,chp_biofuel_extraction,PRT_2,heat,twh,0.001090628924303
5,chp_hydrogen,PRT_1,heat,twh,0.0003078341995002
5,chp_hydrogen,PRT_2,heat,twh,0.0003240525969804
5,chp_methane_extraction,PRT_1,heat,twh,0.0003965302711427
5,chp_methane_extraction,PRT_2,heat,twh,0.00025450469687
5,chp_wte_back_pressure,PRT_1,heat,twh,0.0001216718708086
5,chp_wte_back_pressure,PRT_2,heat,twh,0.0001305246206272
6,chp_biofuel_extraction,PRT_1,heat,twh,0.0033079485107066
6,chp_biofuel_extraction,PRT_2,heat,twh,0.0011760958070064
6,chp_hydrogen,PRT_1,heat,twh,0.0003319614217529
6,chp_hydrogen,PRT_2,heat,twh,0.000332509320594
6,chp_methane_extraction,PRT_1,heat,twh,0.000326038795662
6,chp_methane_extraction,PRT_2,heat,twh,0.0001217206295184
6,chp_wte_back_pressure,PRT_1,heat,twh,0.000118371146554
6,chp_wte_back_pressure,PRT_2,heat,twh,0.0001245891089283
7,chp_biofuel_extraction,PRT_1,heat,twh,0.0051709054322425
7,chp_biofuel_extraction,PRT_2,heat,twh,0.0023394682028879
7,chp_hydrogen,PRT_1,heat,twh,0.0007795824635598
7,chp_hydrogen,PRT_2,heat,twh,0.000804873931014
7,chp_methane_extraction,PRT_1,heat,twh,0.0010280302098697
7,chp_methane_extraction,PRT_2,heat,twh,0.0008838381518491
7,chp_wte_back_pressure,PRT_1,heat,twh,0.0002586449347796
7,chp_wte_back_pressure,PRT_2,heat,twh,0.0002798361658583
8,chp_biofuel_extraction,PRT_1,heat,twh,0.002621007205116
8,chp_biofuel_extraction,PRT_2,heat,twh,0.0012532426293811
8,chp_hydrogen,PRT_1,heat,twh,0.0004089410980677
8,chp_hydrogen,PRT_2,heat,twh,0.0004025347057343
8,chp_methane_extraction,PRT_1,heat,twh,0.0004317710258338
8,chp_methane_extraction,PRT_2,heat,twh,0.0003671440191331
8,chp_wte_back_pressure,PRT_1,heat,twh,0.0001357717804116
8,chp_wte_back_pressure,PRT_2,heat,twh,0.0001400487001283
