spores,unit,import_dependency
0,non-dimensional,0.02901473158083064
1,non-dimensional,0.061679102320977806
2,non-dimensional,0.11823844387378034
3,non-dimensional,0.11467447741400223
4,non-dimensional,0.10994779984968771
5,non-dimensional,0.1154258293806272
6,non-dimensional,0.10679372562408435
7,non-dimensional,0.08220287187472283
8,non-dimensional,0.07195435854185063
9,non-dimensional,0.06480085472184902
10,non-dimensional,0.0894109769035849
11,non-dimensional,0.09868373779646827
12,non-dimensional,0.0570662392312311
13,non-dimensional,0.05371743196396875
14,non-dimensional,0.055176230572717
15,non-dimensional,0.07972541851820779
16,non-dimensional,0.08058317372282076
17,non-dimensional,0.09172726099256404
18,non-dimensional,0.08073801357290923
19,non-dimensional,0.09108615858313868
20,non-dimensional,0.0817492022439321
21,non-dimensional,0.0992402125847657
22,non-dimensional,0.10483894017291503
23,non-dimensional,0.09050356711870124
24,non-dimensional,0.12113176298474954
25,non-dimensional,0.09039878102870984
26,non-dimensional,0.07843714685112904
27,non-dimensional,0.07642371905298342
28,non-dimensional,0.07495586240777623
29,non-dimensional,0.07249016393689596
30,non-dimensional,0.09365800718728656
31,non-dimensional,0.0852796108954386
32,non-dimensional,0.07790232569884842
33,non-dimensional,0.06954228879231975
34,non-dimensional,0.08302666057795277
35,non-dimensional,0.07616890439972275
36,non-dimensional,0.08151670299182667
37,non-dimensional,0.07658002071079627
38,non-dimensional,0.07425646782136844
39,non-dimensional,0.08053543890469858
40,non-dimensional,0.06854150546765238
41,non-dimensional,0.07947886613853992
42,non-dimensional,0.07867788440806373
43,non-dimensional,0.08371329391730539
44,non-dimensional,0.09681240152989302
45,non-dimensional,0.10540320461940257
46,non-dimensional,0.11200381270172574
47,non-dimensional,0.11577469445938797
48,non-dimensional,0.10786964818560021
49,non-dimensional,0.10827103563159639
50,non-dimensional,0.10631077992857808
51,non-dimensional,0.07441531329940314
52,non-dimensional,0.07830619713964729
53,non-dimensional,0.0725210341005773
54,non-dimensional,0.07809440473444251
55,non-dimensional,0.07367884054096356
56,non-dimensional,0.07818105318183727
57,non-dimensional,0.0733592413079767
58,non-dimensional,0.07812208500963877
59,non-dimensional,0.07347707831594635
60,non-dimensional,0.07814141986175112
61,non-dimensional,0.0514555133279943
62,non-dimensional,0.053909917193437275
63,non-dimensional,0.04633100150339635
64,non-dimensional,0.0549448359308949
65,non-dimensional,0.04581894610009135
66,non-dimensional,0.05510227839056738
67,non-dimensional,0.04586880834659817
68,non-dimensional,0.05533529053432543
69,non-dimensional,0.04613139216463979
70,non-dimensional,0.05478476713389675
71,non-dimensional,0.051302292926053226
72,non-dimensional,0.05342858326094899
73,non-dimensional,0.04818821418485842
74,non-dimensional,0.05527300308893081
75,non-dimensional,0.04549406498075478
76,non-dimensional,0.054951452671764475
77,non-dimensional,0.04562419010603871
78,non-dimensional,0.05558660217412164
79,non-dimensional,0.045376612811348416
80,non-dimensional,0.055844224726301364
81,non-dimensional,0.07200924223749863
82,non-dimensional,0.09073671838784164
83,non-dimensional,0.06871950395548018
