spores,techs,locs,carriers,unit,nameplate_capacity
0,chp_biofuel_extraction,PRT_1,heat,gw,6.498259552961904e-05
0,chp_biofuel_extraction,PRT_2,heat,gw,5.4283534640779214e-05
0,chp_hydrogen,PRT_1,heat,gw,2.6961157031794328e-05
0,chp_hydrogen,PRT_2,heat,gw,3.168513781176415e-05
0,chp_methane_extraction,PRT_1,heat,gw,8.465107385239294e-06
0,chp_methane_extraction,PRT_2,heat,gw,8.649569078240751e-06
0,chp_wte_back_pressure,PRT_1,electricity,gw,0.07620394082648266
0,chp_wte_back_pressure,PRT_1,heat,gw,3.198221077175706e-06
0,chp_wte_back_pressure,PRT_2,electricity,gw,0.07457998801559766
0,chp_wte_back_pressure,PRT_2,heat,gw,3.4814586999141716e-06
0,electrolysis,PRT_2,hydrogen,gw,3.5390609675086
0,existing_pv,PRT-10_1,electricity,gw,0.2
0,existing_pv,PRT-12_1,electricity,gw,0.1
0,existing_pv,PRT-15_1,electricity,gw,0.2
0,existing_pv,PRT-3_1,electricity,gw,0.5
0,existing_pv,PRT-9_1,electricity,gw,0.1
0,existing_wind,PRT-10_1,electricity,gw,0.11
0,existing_wind,PRT-11_1,electricity,gw,0.43
0,existing_wind,PRT-12_1,electricity,gw,0.1
0,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
0,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
0,existing_wind,PRT-17_1,electricity,gw,0.08
0,existing_wind,PRT-18_1,electricity,gw,0.83
0,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
0,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
0,existing_wind,PRT-20_1,electricity,gw,0.82
0,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
0,existing_wind,PRT-4_1,electricity,gw,0.35
0,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
0,existing_wind,PRT-6_1,electricity,gw,0.67
0,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
0,existing_wind,PRT-9_1,electricity,gw,0.23
0,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
0,hydro_reservoir,PRT_2,electricity,gw,0.205
0,hydro_run_of_river,PRT_1,electricity,gw,1.4028
0,hydro_run_of_river,PRT_2,electricity,gw,0.2127
0,open_field_pv,PRT-10_1,electricity,gw,0.001927960046750523
0,open_field_pv,PRT-11_1,electricity,gw,10.9324897949392
0,open_field_pv,PRT-14_1,electricity,gw,0.0005100414929822035
0,open_field_pv,PRT-15_1,electricity,gw,0.0009439585848694909
0,open_field_pv,PRT-17_1,electricity,gw,0.0005528586787415785
0,open_field_pv,PRT-19_1,electricity,gw,0.0007103964524071532
0,open_field_pv,PRT-20_1,electricity,gw,0.0008620992923666776
0,open_field_pv,PRT-3_1,electricity,gw,0.0008194269683954585
0,open_field_pv,PRT-5_1,electricity,gw,0.0010908316521060584
0,open_field_pv,PRT-6_1,electricity,gw,25.9838381180525
0,open_field_pv,PRT-7_1,electricity,gw,0.0010587317471834271
0,open_field_pv,PRT-8_1,electricity,gw,0.0005867587113528415
0,open_field_pv,PRT-9_1,electricity,gw,22.6973997157509
0,pumped_hydro,PRT_1,electricity,gw,3.126
0,pumped_hydro,PRT_2,electricity,gw,0.514
0,wind_onshore,PRT-12_1,electricity,gw,0.0005299285059735547
0,wind_onshore,PRT-14_1,electricity,gw,0.0005471866123224417
0,wind_onshore,PRT-17_1,electricity,gw,0.0006103396438394906
0,wind_onshore,PRT-3_1,electricity,gw,0.0007692550283041041
0,wind_onshore,PRT-8_1,electricity,gw,0.0005744914679832228
0,wind_onshore,PRT-9_1,electricity,gw,13.862983096955698
1,battery,PRT_1,electricity,gw,0.4686215849489
1,battery,PRT_2,electricity,gw,0.6631202269926
1,ccgt,PRT_1,electricity,gw,0.0005351855254347728
1,ccgt,PRT_2,electricity,gw,0.0006475857338270207
1,chp_biofuel_extraction,PRT_1,heat,gw,0.000294191380396935
1,chp_biofuel_extraction,PRT_2,heat,gw,0.00030679230648664505
1,chp_hydrogen,PRT_1,heat,gw,0.00025284539113281626
1,chp_hydrogen,PRT_2,heat,gw,0.0002604947375233873
1,chp_methane_extraction,PRT_1,heat,gw,0.00012119235248443979
1,chp_methane_extraction,PRT_2,heat,gw,0.0001392796845749508
1,chp_wte_back_pressure,PRT_1,electricity,gw,0.07613337298503334
1,chp_wte_back_pressure,PRT_1,heat,gw,3.062987038203176e-05
1,chp_wte_back_pressure,PRT_2,electricity,gw,0.07451139945878825
1,chp_wte_back_pressure,PRT_2,heat,gw,3.27647107518629e-05
1,electrolysis,PRT_1,hydrogen,gw,5.7985645127406995
1,existing_pv,PRT-10_1,electricity,gw,0.2
1,existing_pv,PRT-12_1,electricity,gw,0.1
1,existing_pv,PRT-15_1,electricity,gw,0.2
1,existing_pv,PRT-3_1,electricity,gw,0.5
1,existing_pv,PRT-9_1,electricity,gw,0.1
1,existing_wind,PRT-10_1,electricity,gw,0.11
1,existing_wind,PRT-11_1,electricity,gw,0.43
1,existing_wind,PRT-12_1,electricity,gw,0.1
1,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
1,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
1,existing_wind,PRT-17_1,electricity,gw,0.08
1,existing_wind,PRT-18_1,electricity,gw,0.83
1,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
1,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
1,existing_wind,PRT-20_1,electricity,gw,0.82
1,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
