spores,techs,locs,carriers,unit,storage_capacity
0,battery,PRT_1,electricity,twh,1.9551482618658618e-07
0,heat_storage_big,PRT_1,heat,twh,7.353087999594362e-05
0,heat_storage_small,PRT_1,heat,twh,3.127170897177022e-06
0,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
0,hydrogen_storage,PRT_1,hydrogen,twh,2.900739843414103e-06
0,methane_storage,PRT_1,methane,twh,1.785
0,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
0,battery,PRT_2,electricity,twh,2.719916938260855e-07
0,heat_storage_big,PRT_2,heat,twh,7.870626782599344e-05
0,heat_storage_small,PRT_2,heat,twh,3.0399411865958004e-06
0,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
0,hydrogen_storage,PRT_2,hydrogen,twh,2.9006878085584474e-06
0,methane_storage,PRT_2,methane,twh,1.785
0,pumped_hydro,PRT_2,electricity,twh,0.0058
1,battery,PRT_1,electricity,twh,0.0026055466234617
1,heat_storage_big,PRT_1,heat,twh,0.0002502801233072
1,heat_storage_small,PRT_1,heat,twh,0.001376779967322
1,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
1,hydrogen_storage,PRT_1,hydrogen,twh,1.5886320886602832e-05
1,methane_storage,PRT_1,methane,twh,1.785
1,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
1,battery,PRT_2,electricity,twh,0.0024074349482502
1,heat_storage_big,PRT_2,heat,twh,0.0003304963567611
1,heat_storage_small,PRT_2,heat,twh,4.65405896242756e-05
1,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
1,hydrogen_storage,PRT_2,hydrogen,twh,1.5886990277758683e-05
1,methane_storage,PRT_2,methane,twh,1.785
1,pumped_hydro,PRT_2,electricity,twh,0.0058
2,battery,PRT_1,electricity,twh,2.200144747318076e-06
2,heat_storage_big,PRT_1,heat,twh,0.0006137262051232
2,heat_storage_small,PRT_1,heat,twh,1.421604923586746e-05
2,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
2,hydrogen_storage,PRT_1,hydrogen,twh,3.647805117362482e-05
2,methane_storage,PRT_1,methane,twh,1.785
2,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
2,battery,PRT_2,electricity,twh,8.593734029778385e-06
2,heat_storage_big,PRT_2,heat,twh,0.0008303243062278
2,heat_storage_small,PRT_2,heat,twh,0.0020020915147558
2,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
2,hydrogen_storage,PRT_2,hydrogen,twh,3.647426615462065e-05
2,methane_storage,PRT_2,methane,twh,1.785
2,pumped_hydro,PRT_2,electricity,twh,0.0058
3,battery,PRT_1,electricity,twh,1.3851587796045217e-06
3,heat_storage_big,PRT_1,heat,twh,0.0002980748303385
3,heat_storage_small,PRT_1,heat,twh,1.344261181045346e-05
3,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
3,hydrogen_storage,PRT_1,hydrogen,twh,1.930957493560012e-05
3,methane_storage,PRT_1,methane,twh,1.785
3,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
3,battery,PRT_2,electricity,twh,3.3305969295070717e-06
3,heat_storage_big,PRT_2,heat,twh,0.0004134528197836
3,heat_storage_small,PRT_2,heat,twh,0.0020000215372005
3,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
3,hydrogen_storage,PRT_2,hydrogen,twh,1.9306450859385675e-05
3,methane_storage,PRT_2,methane,twh,1.785
3,pumped_hydro,PRT_2,electricity,twh,0.0058
4,battery,PRT_1,electricity,twh,3.267714459489228e-06
4,heat_storage_big,PRT_1,heat,twh,0.0006272118861132
4,heat_storage_small,PRT_1,heat,twh,0.0007659284348554
4,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
4,hydrogen_storage,PRT_1,hydrogen,twh,3.406458760423271e-05
4,methane_storage,PRT_1,methane,twh,1.785
4,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
4,battery,PRT_2,electricity,twh,5.3660137683715806e-06
4,heat_storage_big,PRT_2,heat,twh,0.0009264916949071
4,heat_storage_small,PRT_2,heat,twh,0.00199919914167
4,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
4,hydrogen_storage,PRT_2,hydrogen,twh,3.405424112843892e-05
4,methane_storage,PRT_2,methane,twh,1.785
4,pumped_hydro,PRT_2,electricity,twh,0.0058
5,battery,PRT_1,electricity,twh,3.3401879196736683e-06
5,heat_storage_big,PRT_1,heat,twh,0.0005570868410992
5,heat_storage_small,PRT_1,heat,twh,0.0013467782846534
5,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
5,hydrogen_storage,PRT_1,hydrogen,twh,2.994560857672045e-05
5,methane_storage,PRT_1,methane,twh,1.785
5,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
5,battery,PRT_2,electricity,twh,6.197772340273509e-06
5,heat_storage_big,PRT_2,heat,twh,0.000691131925835
5,heat_storage_small,PRT_2,heat,twh,0.0020010873451934
5,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
5,hydrogen_storage,PRT_2,hydrogen,twh,2.994286594486729e-05
5,methane_storage,PRT_2,methane,twh,1.785
5,pumped_hydro,PRT_2,electricity,twh,0.0058
6,battery,PRT_1,electricity,twh,4.1430517462149484e-06
6,heat_storage_big,PRT_1,heat,twh,0.0004109688505445
6,heat_storage_small,PRT_1,heat,twh,0.0006759036114525
6,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
6,hydrogen_storage,PRT_1,hydrogen,twh,3.087936579372776e-05
6,methane_storage,PRT_1,methane,twh,1.785
6,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
6,battery,PRT_2,electricity,twh,4.467480725108513e-06
6,heat_storage_big,PRT_2,heat,twh,0.0005738914514184
6,heat_storage_small,PRT_2,heat,twh,0.0019996084015704
6,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
6,hydrogen_storage,PRT_2,hydrogen,twh,3.087164753373091e-05
6,methane_storage,PRT_2,methane,twh,1.785
6,pumped_hydro,PRT_2,electricity,twh,0.0058
7,battery,PRT_1,electricity,twh,9.131894537529558e-06
7,heat_storage_big,PRT_1,heat,twh,0.0007619405905789
7,heat_storage_small,PRT_1,heat,twh,0.0012842560248199
7,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
7,hydrogen_storage,PRT_1,hydrogen,twh,5.110741338023022e-05
7,methane_storage,PRT_1,methane,twh,1.785
7,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
7,battery,PRT_2,electricity,twh,1.4638107705355335e-05
7,heat_storage_big,PRT_2,heat,twh,0.0009442866053758
7,heat_storage_small,PRT_2,heat,twh,0.0020017921256699
7,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
7,hydrogen_storage,PRT_2,hydrogen,twh,5.110600081036572e-05
7,methane_storage,PRT_2,methane,twh,1.785
7,pumped_hydro,PRT_2,electricity,twh,0.0058
8,battery,PRT_1,electricity,twh,7.390982384363368e-06
8,heat_storage_big,PRT_1,heat,twh,0.0005753362184957
8,heat_storage_small,PRT_1,heat,twh,0.0006769636908018
8,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
8,hydrogen_storage,PRT_1,hydrogen,twh,3.255288484238729e-05
8,methane_storage,PRT_1,methane,twh,1.785
8,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
8,battery,PRT_2,electricity,twh,1.0717151577906952e-05
8,heat_storage_big,PRT_2,heat,twh,0.0007958629256
8,heat_storage_small,PRT_2,heat,twh,0.0020029028681493
8,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
8,hydrogen_storage,PRT_2,hydrogen,twh,3.254716083365153e-05
8,methane_storage,PRT_2,methane,twh,1.785
8,pumped_hydro,PRT_2,electricity,twh,0.0058
9,battery,PRT_1,electricity,twh,1.499748271961102e-05
9,heat_storage_big,PRT_1,heat,twh,0.0006706624993127
9,heat_storage_small,PRT_1,heat,twh,0.0004624872459978
9,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
9,hydrogen_storage,PRT_1,hydrogen,twh,4.529410314205481e-05
9,methane_storage,PRT_1,methane,twh,1.785
9,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
9,battery,PRT_2,electricity,twh,2.295808736578789e-05
9,heat_storage_big,PRT_2,heat,twh,0.0008761230488654
