spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
0,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,15.0
0,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,15.0
0,ac_transmission,PRT_1,gw,electricity,PRT_2,5.0122856238568
0,ac_transmission,PRT_2,gw,electricity,PRT_1,5.0122856238568
1,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9998880130532
1,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9998880130532
1,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999759519335
1,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999759519335
2,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.7627063294903
2,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.7627063294903
2,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999976907087
2,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999976907087
3,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.7084908051897
3,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.7084908051897
3,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999741209762
3,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999741209762
4,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.6201390257843
4,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.6201390257843
4,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999213096097996
4,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999213096097996
5,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.7144525860785
5,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.7144525860785
5,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999672933684
5,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999672933684
6,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.4532979125620997
6,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.4532979125620997
6,ac_transmission,PRT_1,gw,electricity,PRT_2,3.999994877588
6,ac_transmission,PRT_2,gw,electricity,PRT_1,3.999994877588
7,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0048580014249997
7,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0048580014249997
7,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9996848701156003
7,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9996848701156003
8,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.4336909778888
8,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.4336909778888
8,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999175388001005
8,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999175388001005
9,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0014573908078
9,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0014573908078
9,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9997739866596
9,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9997739866596
10,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0564569809519
10,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0564569809519
10,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999759428081
10,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999759428081
11,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0029340107546
11,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0029340107546
11,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9989153022
11,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9989153022
12,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.005751449895
12,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.005751449895
12,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9994694978866003
12,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9994694978866003
13,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9996180735666997
13,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9996180735666997
13,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9992106785836
13,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9992106785836
14,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9987835624107997
14,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9987835624107997
14,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9987911116920998
14,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9987911116920998
15,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.000667880252
15,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.000667880252
15,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9993415170335003
15,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9993415170335003
16,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.999176889645
16,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.999176889645
16,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9992952467571
16,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9992952467571
17,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.999471074701
17,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.999471074701
17,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9990022687408002
17,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9990022687408002
18,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0024487744458
18,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0024487744458
18,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999507939977006
18,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999507939977006
19,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9994612262548004
19,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9994612262548004
19,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988539024692002
19,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988539024692002
20,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9995895358441
