spores,unit,deployment_acceleration_rate
0,non-dimensional,8.465207226466934
1,non-dimensional,6.804405939938355
2,non-dimensional,3.593915152275282
3,non-dimensional,4.251689228985752
4,non-dimensional,4.102345347107141
5,non-dimensional,4.3875213949835965
6,non-dimensional,4.4003715101352645
7,non-dimensional,4.451154493743178
8,non-dimensional,4.143518287728194
9,non-dimensional,4.044667425070327
10,non-dimensional,3.898265522104022
11,non-dimensional,3.8843545471067737
12,non-dimensional,4.3669698866625835
13,non-dimensional,4.575106282908788
14,non-dimensional,4.54441942082959
15,non-dimensional,4.4959612334998305
16,non-dimensional,4.249490019399731
17,non-dimensional,4.477185048685668
18,non-dimensional,4.3460292963659315
19,non-dimensional,4.329295346609249
20,non-dimensional,4.331340902155727
21,non-dimensional,4.227819116068517
22,non-dimensional,4.1686031005820725
23,non-dimensional,4.222667512108545
24,non-dimensional,4.314045212803108
25,non-dimensional,4.15085666900273
26,non-dimensional,4.421743123747352
27,non-dimensional,4.340416502096761
28,non-dimensional,4.38357039282022
29,non-dimensional,4.188753617018951
30,non-dimensional,4.3736188749703055
31,non-dimensional,4.355264987057019
32,non-dimensional,4.292195397234265
33,non-dimensional,4.397046593134664
34,non-dimensional,4.3486259381572
35,non-dimensional,4.343164658007216
36,non-dimensional,4.337977305815317
37,non-dimensional,4.313295439471598
38,non-dimensional,4.189416584337632
39,non-dimensional,4.393770314450101
40,non-dimensional,5.390916631132082
41,non-dimensional,5.39484997231638
42,non-dimensional,5.86230366725606
43,non-dimensional,5.906919612633167
44,non-dimensional,5.872054951394529
45,non-dimensional,5.876567757248069
46,non-dimensional,5.861295771591014
47,non-dimensional,5.733939452778331
48,non-dimensional,5.760778264165085
49,non-dimensional,5.69542810847069
50,non-dimensional,5.106742635737816
51,non-dimensional,6.968061921226268
52,non-dimensional,6.4784078315415545
53,non-dimensional,6.064719605961604
54,non-dimensional,6.512647754060769
55,non-dimensional,6.5817107795500425
56,non-dimensional,6.320223452354968
57,non-dimensional,6.172508084278353
58,non-dimensional,6.128596944240378
59,non-dimensional,5.784357666156847
60,non-dimensional,5.291607423464607
61,non-dimensional,6.8556605144943195
62,non-dimensional,6.5191397198541186
63,non-dimensional,6.095818749842133
64,non-dimensional,5.907255701821551
65,non-dimensional,6.224452296133431
66,non-dimensional,5.6058812375194105
67,non-dimensional,5.440252920652426
68,non-dimensional,5.028323915405444
69,non-dimensional,5.364968166863299
70,non-dimensional,4.94320078527562
71,non-dimensional,6.969534138684236
72,non-dimensional,6.471932439566054
73,non-dimensional,6.058019394809225
74,non-dimensional,5.972871372643519
75,non-dimensional,6.093832285356017
76,non-dimensional,5.937726520783632
77,non-dimensional,5.2205176916709375
78,non-dimensional,5.093216026190153
79,non-dimensional,5.113696091087533
80,non-dimensional,5.262599157249794
81,non-dimensional,4.105550350579796
82,non-dimensional,4.0932608120356235
83,non-dimensional,4.123615742293535
84,non-dimensional,4.310549987308813
85,non-dimensional,4.470142588685471
86,non-dimensional,4.300799760182933
87,non-dimensional,4.314524643638144
88,non-dimensional,4.245277525964214
89,non-dimensional,4.146130568582261
90,non-dimensional,4.286164120713036
91,non-dimensional,7.44168702045454
92,non-dimensional,6.96522145904846
93,non-dimensional,7.018089015357821
94,non-dimensional,6.6848176135587565
95,non-dimensional,6.389122861445051
96,non-dimensional,6.224806589105989
97,non-dimensional,6.136640337328572
98,non-dimensional,6.115556602947527
99,non-dimensional,6.090667711166029
100,non-dimensional,6.0687988890670805
101,non-dimensional,6.606968047814741
102,non-dimensional,6.336752646024859
103,non-dimensional,6.181898288784061
104,non-dimensional,6.134133314895401
105,non-dimensional,6.196602292280021
106,non-dimensional,5.999433330966092
107,non-dimensional,5.867271010731665
108,non-dimensional,5.896700739709678
109,non-dimensional,5.886328909407655
110,non-dimensional,5.926562346004278
111,non-dimensional,6.971886134142928
112,non-dimensional,6.475768839828407
113,non-dimensional,6.03609531873207
114,non-dimensional,5.95805975518271
115,non-dimensional,6.142315456278959
116,non-dimensional,5.917395272721814
117,non-dimensional,5.373190185989846
118,non-dimensional,5.300636050605304
119,non-dimensional,5.676382955392952
120,non-dimensional,5.657223342421417
121,non-dimensional,6.756906685003127
122,non-dimensional,5.688389501330193
123,non-dimensional,5.111435546613709
124,non-dimensional,5.362094541759794
125,non-dimensional,5.117340372018167
126,non-dimensional,5.31222699805667
127,non-dimensional,5.450818315070605
128,non-dimensional,5.27290981060038
129,non-dimensional,5.1151364828779124
130,non-dimensional,5.137613762573593
131,non-dimensional,6.970245683088646
132,non-dimensional,6.470186268344399
133,non-dimensional,6.0653915743170606
