spores,locs,carriers,unit,electrification_rate_heat_building
0,PRT_1,heat,fraction,0.9998155594742477
0,PRT_2,heat,fraction,0.9999721901052744
1,PRT_1,heat,fraction,0.9999205298038117
1,PRT_2,heat,fraction,0.9999310257039423
2,PRT_1,heat,fraction,0.9872820452751317
2,PRT_2,heat,fraction,0.9981752211109028
3,PRT_1,heat,fraction,0.9794759502407699
3,PRT_2,heat,fraction,0.998079954309667
4,PRT_1,heat,fraction,0.9771572687425922
4,PRT_2,heat,fraction,0.9970331074160241
5,PRT_1,heat,fraction,0.9662054513114849
5,PRT_2,heat,fraction,0.9955940569832591
6,PRT_1,heat,fraction,0.9694935458939139
6,PRT_2,heat,fraction,0.9957213711361841
7,PRT_1,heat,fraction,0.9492221277434201
7,PRT_2,heat,fraction,0.9944066433128136
8,PRT_1,heat,fraction,0.9696076395032492
8,PRT_2,heat,fraction,0.9957932575876887
9,PRT_1,heat,fraction,0.9526778893281914
9,PRT_2,heat,fraction,0.9941267225106774
10,PRT_1,heat,fraction,0.9431691241652105
10,PRT_2,heat,fraction,0.9918485029632397
11,PRT_1,heat,fraction,0.9866007549154432
11,PRT_2,heat,fraction,0.9975261856979128
12,PRT_1,heat,fraction,0.9478448632169418
12,PRT_2,heat,fraction,0.9899042850541833
13,PRT_1,heat,fraction,0.9430538739724227
13,PRT_2,heat,fraction,0.9917820143597581
14,PRT_1,heat,fraction,0.9330828071768426
14,PRT_2,heat,fraction,0.9895612660179967
15,PRT_1,heat,fraction,0.9276990638126928
15,PRT_2,heat,fraction,0.9910155210545893
16,PRT_1,heat,fraction,0.9560561775046752
16,PRT_2,heat,fraction,0.9958023683413858
17,PRT_1,heat,fraction,0.9407680473010065
17,PRT_2,heat,fraction,0.9867105176386287
18,PRT_1,heat,fraction,0.9075245464518708
18,PRT_2,heat,fraction,0.9889521713241408
19,PRT_1,heat,fraction,0.9149360557334336
19,PRT_2,heat,fraction,0.9880729318296466
20,PRT_1,heat,fraction,0.9206791611282115
20,PRT_2,heat,fraction,0.9862419271502815
21,PRT_1,heat,fraction,0.9076018475198686
21,PRT_2,heat,fraction,0.9865965022850299
22,PRT_1,heat,fraction,0.9023209916948636
22,PRT_2,heat,fraction,0.9873777428554373
23,PRT_1,heat,fraction,0.8959119572720662
23,PRT_2,heat,fraction,0.985599559716301
24,PRT_1,heat,fraction,0.9108460662611633
24,PRT_2,heat,fraction,0.9868020494150567
25,PRT_1,heat,fraction,0.9694891904812465
25,PRT_2,heat,fraction,0.9948454909501011
26,PRT_1,heat,fraction,0.9403028105561229
26,PRT_2,heat,fraction,0.9814739122543336
27,PRT_1,heat,fraction,0.8871707435939792
27,PRT_2,heat,fraction,0.9844142266305232
28,PRT_1,heat,fraction,0.9096201541210978
28,PRT_2,heat,fraction,0.9816892760347927
29,PRT_1,heat,fraction,0.9830653511962346
29,PRT_2,heat,fraction,0.996616055720274
30,PRT_1,heat,fraction,0.9528808673612119
30,PRT_2,heat,fraction,0.9844767299184534
31,PRT_1,heat,fraction,0.8888621500456234
31,PRT_2,heat,fraction,0.9828599891953941
32,PRT_1,heat,fraction,0.9414873344107264
32,PRT_2,heat,fraction,0.9909079710326113
33,PRT_1,heat,fraction,0.8713311935747722
33,PRT_2,heat,fraction,0.9842933074003509
34,PRT_1,heat,fraction,0.8886441352586609
34,PRT_2,heat,fraction,0.984145754985517
35,PRT_1,heat,fraction,0.9310114395955541
35,PRT_2,heat,fraction,0.9895857271475629
36,PRT_1,heat,fraction,0.8904239742217583
36,PRT_2,heat,fraction,0.9829114743435465
37,PRT_1,heat,fraction,0.9290985096730264
37,PRT_2,heat,fraction,0.9881780730657932
38,PRT_1,heat,fraction,0.9548893815107662
38,PRT_2,heat,fraction,0.9950276177442162
39,PRT_1,heat,fraction,0.8728594874225322
39,PRT_2,heat,fraction,0.9862429348891115
40,PRT_1,heat,fraction,0.896161471456538
40,PRT_2,heat,fraction,0.9651227961006477
41,PRT_1,heat,fraction,0.9187543184976594
41,PRT_2,heat,fraction,0.9820243823686174
42,PRT_1,heat,fraction,0.913049723938518
42,PRT_2,heat,fraction,0.9697835997440467
43,PRT_1,heat,fraction,0.8813551756159007
43,PRT_2,heat,fraction,0.9636963785540602
44,PRT_1,heat,fraction,0.8978881202116613
44,PRT_2,heat,fraction,0.968205266587112
45,PRT_1,heat,fraction,0.914080151559272
45,PRT_2,heat,fraction,0.9705619268831411
46,PRT_1,heat,fraction,0.9207662061805456
46,PRT_2,heat,fraction,0.972624294711689
47,PRT_1,heat,fraction,0.9252552816919266
47,PRT_2,heat,fraction,0.9750913630437781
48,PRT_1,heat,fraction,0.8375986482299911
48,PRT_2,heat,fraction,0.9587752719756641
49,PRT_1,heat,fraction,0.8779717838192148
49,PRT_2,heat,fraction,0.9692210904792551
50,PRT_1,heat,fraction,0.9799934792346562
50,PRT_2,heat,fraction,0.9938264364658802
51,PRT_1,heat,fraction,0.9998764037184847
51,PRT_2,heat,fraction,0.999903944285018
52,PRT_1,heat,fraction,0.9985129709217511
52,PRT_2,heat,fraction,0.9987224839249752
53,PRT_1,heat,fraction,0.9991001650565937
53,PRT_2,heat,fraction,0.9992141456639557
54,PRT_1,heat,fraction,0.9992365854350737
54,PRT_2,heat,fraction,0.9993179627575545
55,PRT_1,heat,fraction,0.9999229937220622
55,PRT_2,heat,fraction,0.999934517258911
56,PRT_1,heat,fraction,0.9999504103185463
56,PRT_2,heat,fraction,0.9999547113137267
57,PRT_1,heat,fraction,0.9999538961334248
57,PRT_2,heat,fraction,0.9999579873176359
58,PRT_1,heat,fraction,0.9998315438812667
58,PRT_2,heat,fraction,0.9998426842641089
59,PRT_1,heat,fraction,0.9999269715099891
59,PRT_2,heat,fraction,0.9999329698004084
60,PRT_1,heat,fraction,0.999933215926168
60,PRT_2,heat,fraction,0.9999376479676697
61,PRT_1,heat,fraction,0.999699818286405
61,PRT_2,heat,fraction,0.9997426610367276
62,PRT_1,heat,fraction,0.9981031548591158
62,PRT_2,heat,fraction,0.9983821181052542
63,PRT_1,heat,fraction,0.998763562166866
63,PRT_2,heat,fraction,0.9989718956039711
64,PRT_1,heat,fraction,0.9987631668365072
64,PRT_2,heat,fraction,0.9988313002929828
65,PRT_1,heat,fraction,0.9998873995339098
65,PRT_2,heat,fraction,0.9998941325117897
66,PRT_1,heat,fraction,0.9986768511488039
66,PRT_2,heat,fraction,0.9986791568624325
67,PRT_1,heat,fraction,0.9998689587135575
