spores,locs,carriers,unit,electrification_rate_road_transport
0,PRT_1,transport,fraction,0.9999981932928349
0,PRT_2,transport,fraction,0.9999991542921202
1,PRT_1,transport,fraction,0.9999992314474209
1,PRT_2,transport,fraction,0.9999988517348953
2,PRT_1,transport,fraction,0.9989825053857545
2,PRT_2,transport,fraction,0.9998935497194394
3,PRT_1,transport,fraction,0.9978947236182444
3,PRT_2,transport,fraction,0.9998986061775262
4,PRT_1,transport,fraction,0.9996869688457061
4,PRT_2,transport,fraction,0.999867224000711
5,PRT_1,transport,fraction,0.9995199800842006
5,PRT_2,transport,fraction,0.9997958905741251
6,PRT_1,transport,fraction,0.9995310864384878
6,PRT_2,transport,fraction,0.9998094585402019
7,PRT_1,transport,fraction,0.9992820505328547
7,PRT_2,transport,fraction,0.9997257189583603
8,PRT_1,transport,fraction,0.9879803882190872
8,PRT_2,transport,fraction,0.9997574762722092
9,PRT_1,transport,fraction,0.9988461442361775
9,PRT_2,transport,fraction,0.9996750631062945
10,PRT_1,transport,fraction,0.9987994822673617
10,PRT_2,transport,fraction,0.9995893413970071
11,PRT_1,transport,fraction,0.9856572916140297
11,PRT_2,transport,fraction,0.9998329100989735
12,PRT_1,transport,fraction,0.9987922325252465
12,PRT_2,transport,fraction,0.9995085031889057
13,PRT_1,transport,fraction,0.999230570050854
13,PRT_2,transport,fraction,0.9996543944154236
14,PRT_1,transport,fraction,0.9989969574370965
14,PRT_2,transport,fraction,0.9995343869283487
15,PRT_1,transport,fraction,0.998612117227032
15,PRT_2,transport,fraction,0.9995487012650156
16,PRT_1,transport,fraction,0.9880585636671341
16,PRT_2,transport,fraction,0.9997710520649283
17,PRT_1,transport,fraction,0.9987691839901931
17,PRT_2,transport,fraction,0.9993889659275997
18,PRT_1,transport,fraction,0.9984547505084385
18,PRT_2,transport,fraction,0.9994662268665846
19,PRT_1,transport,fraction,0.9983864463084393
19,PRT_2,transport,fraction,0.9993995790840663
20,PRT_1,transport,fraction,0.9983747093698176
20,PRT_2,transport,fraction,0.9993411018381018
21,PRT_1,transport,fraction,0.9986330657853566
21,PRT_2,transport,fraction,0.9993902983361905
22,PRT_1,transport,fraction,0.9987128797206908
22,PRT_2,transport,fraction,0.9994244715152552
23,PRT_1,transport,fraction,0.998376860569954
23,PRT_2,transport,fraction,0.9993006668432449
24,PRT_1,transport,fraction,0.997648470921854
24,PRT_2,transport,fraction,0.9993021389747474
25,PRT_1,transport,fraction,0.9848356945032941
25,PRT_2,transport,fraction,0.9996791454106244
26,PRT_1,transport,fraction,0.9983192988590668
26,PRT_2,transport,fraction,0.9991042122092103
27,PRT_1,transport,fraction,0.9978283471955743
27,PRT_2,transport,fraction,0.9992914744619893
28,PRT_1,transport,fraction,0.9979411623178837
28,PRT_2,transport,fraction,0.9990989340559016
29,PRT_1,transport,fraction,0.9834453761569069
29,PRT_2,transport,fraction,0.9997764441486514
30,PRT_1,transport,fraction,0.9985201293075646
30,PRT_2,transport,fraction,0.999238884806517
31,PRT_1,transport,fraction,0.9978411958969988
31,PRT_2,transport,fraction,0.9991719224185678
32,PRT_1,transport,fraction,0.9985629292354027
32,PRT_2,transport,fraction,0.999504898473114
33,PRT_1,transport,fraction,0.9972081505027617
33,PRT_2,transport,fraction,0.9992038191638581
34,PRT_1,transport,fraction,0.9981257289176925
34,PRT_2,transport,fraction,0.9992193193110339
35,PRT_1,transport,fraction,0.9986468580931283
35,PRT_2,transport,fraction,0.9994670080498406
36,PRT_1,transport,fraction,0.9981019012135182
36,PRT_2,transport,fraction,0.9992074112115876
37,PRT_1,transport,fraction,0.9983992104441526
37,PRT_2,transport,fraction,0.9993902773404638
38,PRT_1,transport,fraction,0.9986209824864168
38,PRT_2,transport,fraction,0.999797593482799
39,PRT_1,transport,fraction,0.9973727794227468
39,PRT_2,transport,fraction,0.9992992191619473
40,PRT_1,transport,fraction,0.9968593938290857
40,PRT_2,transport,fraction,0.9983149995368387
41,PRT_1,transport,fraction,0.9976863585780816
41,PRT_2,transport,fraction,0.9990301596976682
42,PRT_1,transport,fraction,0.9974755556700713
42,PRT_2,transport,fraction,0.9984983829252428
43,PRT_1,transport,fraction,0.9971670753089954
43,PRT_2,transport,fraction,0.9982832799268123
44,PRT_1,transport,fraction,0.9974473850367658
44,PRT_2,transport,fraction,0.9984962245145309
45,PRT_1,transport,fraction,0.9977458437569701
45,PRT_2,transport,fraction,0.9986267997402261
46,PRT_1,transport,fraction,0.9978036771473098
46,PRT_2,transport,fraction,0.9986891188658567
47,PRT_1,transport,fraction,0.9978964194914752
47,PRT_2,transport,fraction,0.9987429129067472
48,PRT_1,transport,fraction,0.9966877308256179
48,PRT_2,transport,fraction,0.9981060545674402
49,PRT_1,transport,fraction,0.9968995405457235
49,PRT_2,transport,fraction,0.9984305564914178
50,PRT_1,transport,fraction,0.9992622166535514
50,PRT_2,transport,fraction,0.9996546753514989
51,PRT_1,transport,fraction,0.9999986253823542
51,PRT_2,transport,fraction,0.9999976213526588
52,PRT_1,transport,fraction,0.9999764488599726
52,PRT_2,transport,fraction,0.9999688154373887
53,PRT_1,transport,fraction,0.9999821582750438
53,PRT_2,transport,fraction,0.999971498449323
54,PRT_1,transport,fraction,0.9999742434641328
54,PRT_2,transport,fraction,0.9999721086875982
55,PRT_1,transport,fraction,0.9999983656444916
55,PRT_2,transport,fraction,0.9999973995665598
56,PRT_1,transport,fraction,0.9999987339432433
56,PRT_2,transport,fraction,0.9999980443114483
57,PRT_1,transport,fraction,0.9999988788177026
57,PRT_2,transport,fraction,0.9999982640809387
58,PRT_1,transport,fraction,0.9999955580439266
58,PRT_2,transport,fraction,0.999993187795039
59,PRT_1,transport,fraction,0.9999983262058699
59,PRT_2,transport,fraction,0.9999970149263887
60,PRT_1,transport,fraction,0.9999982521418583
60,PRT_2,transport,fraction,0.9999970874228373
61,PRT_1,transport,fraction,0.9999969411471354
61,PRT_2,transport,fraction,0.9999945072396492
62,PRT_1,transport,fraction,0.9999624887712997
62,PRT_2,transport,fraction,0.9999410598990081
63,PRT_1,transport,fraction,0.9999727066763422
63,PRT_2,transport,fraction,0.9999589289018929
64,PRT_1,transport,fraction,0.9999736379354185
64,PRT_2,transport,fraction,0.999952768327402
65,PRT_1,transport,fraction,0.9999970776995881
65,PRT_2,transport,fraction,0.9999958847196558
66,PRT_1,transport,fraction,0.9999622858011535
66,PRT_2,transport,fraction,0.9999466052044979
67,PRT_1,transport,fraction,0.99999692542222
67,PRT_2,transport,fraction,0.9999948220386365
68,PRT_1,transport,fraction,0.9999962294993487
68,PRT_2,transport,fraction,0.9999949614589669
69,PRT_1,transport,fraction,0.9999937448582549
69,PRT_2,transport,fraction,0.9999901265674603
70,PRT_1,transport,fraction,0.9999832101082513
70,PRT_2,transport,fraction,0.999979444984609
71,PRT_1,transport,fraction,0.9999965954440192
71,PRT_2,transport,fraction,0.9999942268699744
72,PRT_1,transport,fraction,0.9999580959740202
72,PRT_2,transport,fraction,0.9999345947466564
73,PRT_1,transport,fraction,0.9999634909946195
73,PRT_2,transport,fraction,0.9999449918776979
74,PRT_1,transport,fraction,0.9999965065411371
74,PRT_2,transport,fraction,0.9999944516374597
75,PRT_1,transport,fraction,0.9999975559942537
75,PRT_2,transport,fraction,0.9999955842949351
76,PRT_1,transport,fraction,0.9999801460094593
76,PRT_2,transport,fraction,0.9999620610085398
77,PRT_1,transport,fraction,0.999996271593
77,PRT_2,transport,fraction,0.9999942699506726
78,PRT_1,transport,fraction,0.9999968083843941
78,PRT_2,transport,fraction,0.999995372971749
79,PRT_1,transport,fraction,0.9999970411109701
