spores,techs,locs,carriers,unit,generated_building_heat
0,biofuel_boiler,PRT_1,heat,twh,0.0020361720227876
0,biofuel_boiler,PRT_2,heat,twh,0.0003093700972245
0,electric_heater,PRT_1,heat,twh,0.0006117995871984
0,electric_heater,PRT_2,heat,twh,0.0007631014173496
0,hp,PRT_1,heat,twh,11.809275931277284
0,hp,PRT_2,heat,twh,14.46530168118658
0,methane_boiler,PRT_1,heat,twh,0.0001424517058752
0,methane_boiler,PRT_2,heat,twh,9.294082969902905e-05
1,biofuel_boiler,PRT_1,heat,twh,0.0001065614399299
1,biofuel_boiler,PRT_2,heat,twh,0.0001276063259309
1,electric_heater,PRT_1,heat,twh,0.0028033944348662
1,electric_heater,PRT_2,heat,twh,0.0041500757166325
1,hp,PRT_1,heat,twh,11.87703227154548
1,hp,PRT_2,heat,twh,14.466048889769436
1,methane_boiler,PRT_1,heat,twh,0.0008376064643378
1,methane_boiler,PRT_2,heat,twh,0.0008705343075751
2,biofuel_boiler,PRT_1,heat,twh,0.1157727670913488
2,biofuel_boiler,PRT_2,heat,twh,0.0158595621485542
2,electric_heater,PRT_1,heat,twh,0.043607174040314
2,electric_heater,PRT_2,heat,twh,0.0460355950544405
2,hp,PRT_1,heat,twh,11.580509734411036
2,hp,PRT_2,heat,twh,14.398786122778231
2,methane_boiler,PRT_1,heat,twh,0.0339666040090973
2,methane_boiler,PRT_2,heat,twh,0.0105472301360093
3,biofuel_boiler,PRT_1,heat,twh,0.2053530164551021
3,biofuel_boiler,PRT_2,heat,twh,0.0175866896030634
3,electric_heater,PRT_1,heat,twh,0.0445975601823185
3,electric_heater,PRT_2,heat,twh,0.0548978840442182
3,hp,PRT_1,heat,twh,11.49669679372794
3,hp,PRT_2,heat,twh,14.447810341138885
3,methane_boiler,PRT_1,heat,twh,0.0364845698045159
3,methane_boiler,PRT_2,heat,twh,0.0103127410043548
4,biofuel_boiler,PRT_1,heat,twh,0.2326284451012964
4,biofuel_boiler,PRT_2,heat,twh,0.0289224194428079
4,electric_heater,PRT_1,heat,twh,0.0576794602879097
4,electric_heater,PRT_2,heat,twh,0.0597997797202104
4,hp,PRT_1,heat,twh,11.502153313251554
