spores,techs,locs,carriers,unit,generated_district_heat
0,chp_biofuel_extraction,PRT_1,heat,twh,0.0001390086031037
0,chp_biofuel_extraction,PRT_2,heat,twh,0.0001225984916345
0,chp_hydrogen,PRT_1,heat,twh,5.41316151637137e-05
0,chp_hydrogen,PRT_2,heat,twh,5.938758551282872e-05
0,chp_methane_extraction,PRT_1,heat,twh,2.239954239268809e-05
0,chp_methane_extraction,PRT_2,heat,twh,1.85776849166876e-05
0,chp_wte_back_pressure,PRT_1,heat,twh,1.2770136540810837e-05
0,chp_wte_back_pressure,PRT_2,heat,twh,1.351247632693383e-05
1,chp_biofuel_extraction,PRT_1,heat,twh,0.0001883657027144
1,chp_biofuel_extraction,PRT_2,heat,twh,0.0001762294702932
1,chp_hydrogen,PRT_1,heat,twh,0.0004891993709824
1,chp_hydrogen,PRT_2,heat,twh,0.0004656766093329
1,chp_methane_extraction,PRT_1,heat,twh,0.0001827225621722
1,chp_methane_extraction,PRT_2,heat,twh,0.0001762411706454
1,chp_wte_back_pressure,PRT_1,heat,twh,0.0001500825464623
1,chp_wte_back_pressure,PRT_2,heat,twh,0.0001473576918052
2,chp_biofuel_extraction,PRT_1,heat,twh,0.0389216760084673
2,chp_biofuel_extraction,PRT_2,heat,twh,0.0184543270443625
2,chp_hydrogen,PRT_1,heat,twh,0.006701281453841
2,chp_hydrogen,PRT_2,heat,twh,0.0072992957704323
2,chp_methane_extraction,PRT_1,heat,twh,0.0066413734664682
2,chp_methane_extraction,PRT_2,heat,twh,0.0031910179360648
2,chp_wte_back_pressure,PRT_1,heat,twh,0.0041282538478796
2,chp_wte_back_pressure,PRT_2,heat,twh,0.0044602430692523
3,chp_biofuel_extraction,PRT_1,heat,twh,0.0346932608679518
3,chp_biofuel_extraction,PRT_2,heat,twh,0.0164737084878584
3,chp_hydrogen,PRT_1,heat,twh,0.0061879706146257
3,chp_hydrogen,PRT_2,heat,twh,0.0063297937742306
3,chp_methane_extraction,PRT_1,heat,twh,0.0054217261318033
3,chp_methane_extraction,PRT_2,heat,twh,0.0025619172796179
3,chp_wte_back_pressure,PRT_1,heat,twh,0.0030356177282245
3,chp_wte_back_pressure,PRT_2,heat,twh,0.0032066176234831
4,chp_biofuel_extraction,PRT_1,heat,twh,0.0331703207923883
4,chp_biofuel_extraction,PRT_2,heat,twh,0.0206939723880823
4,chp_hydrogen,PRT_1,heat,twh,0.007911208284266
4,chp_hydrogen,PRT_2,heat,twh,0.0080580717343127
4,chp_methane_extraction,PRT_1,heat,twh,0.0050246273848717
4,chp_methane_extraction,PRT_2,heat,twh,0.0029920004506508
4,chp_wte_back_pressure,PRT_1,heat,twh,0.0028503835147583
4,chp_wte_back_pressure,PRT_2,heat,twh,0.0028931343481485
5,chp_biofuel_extraction,PRT_1,heat,twh,0.0503236858682203
5,chp_biofuel_extraction,PRT_2,heat,twh,0.0301633717463136
5,chp_hydrogen,PRT_1,heat,twh,0.0130520526634257
5,chp_hydrogen,PRT_2,heat,twh,0.0130524855703449
5,chp_methane_extraction,PRT_1,heat,twh,0.0089462133072177
5,chp_methane_extraction,PRT_2,heat,twh,0.0054131146938025
5,chp_wte_back_pressure,PRT_1,heat,twh,0.0057186897106319
5,chp_wte_back_pressure,PRT_2,heat,twh,0.0058846674425393
6,chp_biofuel_extraction,PRT_1,heat,twh,0.0475322793382626
6,chp_biofuel_extraction,PRT_2,heat,twh,0.0285667550605763
6,chp_hydrogen,PRT_1,heat,twh,0.011723280820843
6,chp_hydrogen,PRT_2,heat,twh,0.0117551844330895
6,chp_methane_extraction,PRT_1,heat,twh,0.0085230269321801
6,chp_methane_extraction,PRT_2,heat,twh,0.0050337468670728
6,chp_wte_back_pressure,PRT_1,heat,twh,0.0050368600908539
6,chp_wte_back_pressure,PRT_2,heat,twh,0.0052612213940984
7,chp_biofuel_extraction,PRT_1,heat,twh,0.0737128727237345
7,chp_biofuel_extraction,PRT_2,heat,twh,0.0389867808422767
7,chp_hydrogen,PRT_1,heat,twh,0.0164724555357789
7,chp_hydrogen,PRT_2,heat,twh,0.0160488126115191
7,chp_methane_extraction,PRT_1,heat,twh,0.012615068579305
7,chp_methane_extraction,PRT_2,heat,twh,0.0070687667004656
7,chp_wte_back_pressure,PRT_1,heat,twh,0.0078221582578387
7,chp_wte_back_pressure,PRT_2,heat,twh,0.0080781090379259
8,chp_biofuel_extraction,PRT_1,heat,twh,0.0852015833858932
8,chp_biofuel_extraction,PRT_2,heat,twh,0.0384646420165459
8,chp_hydrogen,PRT_1,heat,twh,0.0140329739076626
8,chp_hydrogen,PRT_2,heat,twh,0.0148076777994359
8,chp_methane_extraction,PRT_1,heat,twh,0.0147795214617491
8,chp_methane_extraction,PRT_2,heat,twh,0.0066875233353526
8,chp_wte_back_pressure,PRT_1,heat,twh,0.0102612024191368
8,chp_wte_back_pressure,PRT_2,heat,twh,0.0106111003341182
9,chp_biofuel_extraction,PRT_1,heat,twh,0.0955199704409987
9,chp_biofuel_extraction,PRT_2,heat,twh,0.0464944001988265
9,chp_hydrogen,PRT_1,heat,twh,0.0193325399737531
9,chp_hydrogen,PRT_2,heat,twh,0.018565968784199
9,chp_methane_extraction,PRT_1,heat,twh,0.0156371356668164
9,chp_methane_extraction,PRT_2,heat,twh,0.0080024905256879
9,chp_wte_back_pressure,PRT_1,heat,twh,0.0097607881329308
9,chp_wte_back_pressure,PRT_2,heat,twh,0.0115783460933846
10,chp_biofuel_extraction,PRT_1,heat,twh,0.1227891094766985
10,chp_biofuel_extraction,PRT_2,heat,twh,0.065738628149253
10,chp_hydrogen,PRT_1,heat,twh,0.0250857235688336
10,chp_hydrogen,PRT_2,heat,twh,0.0255034733275069
10,chp_methane_extraction,PRT_1,heat,twh,0.0188254856329306
10,chp_methane_extraction,PRT_2,heat,twh,0.0103850596784357
10,chp_wte_back_pressure,PRT_1,heat,twh,0.0116641914867506
10,chp_wte_back_pressure,PRT_2,heat,twh,0.0119714563348544
11,chp_biofuel_extraction,PRT_1,heat,twh,0.070070965182092
11,chp_biofuel_extraction,PRT_2,heat,twh,0.0251008772405786
11,chp_hydrogen,PRT_1,heat,twh,0.0073691086096555
11,chp_hydrogen,PRT_2,heat,twh,0.0080912156541059
11,chp_methane_extraction,PRT_1,heat,twh,0.0107355408806459
11,chp_methane_extraction,PRT_2,heat,twh,0.0039380513339568
11,chp_wte_back_pressure,PRT_1,heat,twh,0.0100205409923006
11,chp_wte_back_pressure,PRT_2,heat,twh,0.0108536193330199
12,chp_biofuel_extraction,PRT_1,heat,twh,0.139116298646982
12,chp_biofuel_extraction,PRT_2,heat,twh,0.0770173418731207
12,chp_hydrogen,PRT_1,heat,twh,0.030493308229152
12,chp_hydrogen,PRT_2,heat,twh,0.0291423524388781
12,chp_methane_extraction,PRT_1,heat,twh,0.0235227531742842
12,chp_methane_extraction,PRT_2,heat,twh,0.0133106327807637
12,chp_wte_back_pressure,PRT_1,heat,twh,0.0152967097970203
12,chp_wte_back_pressure,PRT_2,heat,twh,0.0222598649824344
13,chp_biofuel_extraction,PRT_1,heat,twh,0.0787482786049037
13,chp_biofuel_extraction,PRT_2,heat,twh,0.0528496916795263
13,chp_hydrogen,PRT_1,heat,twh,0.0195139845773806
13,chp_hydrogen,PRT_2,heat,twh,0.0200234728487221
13,chp_methane_extraction,PRT_1,heat,twh,0.0115644314795672
13,chp_methane_extraction,PRT_2,heat,twh,0.0073299888620999
13,chp_wte_back_pressure,PRT_1,heat,twh,0.0074670103106791
13,chp_wte_back_pressure,PRT_2,heat,twh,0.0075929875574611
14,chp_biofuel_extraction,PRT_1,heat,twh,0.0921599304744529
14,chp_biofuel_extraction,PRT_2,heat,twh,0.0624961702937687
14,chp_hydrogen,PRT_1,heat,twh,0.0277814496681084
14,chp_hydrogen,PRT_2,heat,twh,0.0284000992793038
14,chp_methane_extraction,PRT_1,heat,twh,0.0174298944253991
14,chp_methane_extraction,PRT_2,heat,twh,0.0114157282311107
14,chp_wte_back_pressure,PRT_1,heat,twh,0.0121541888424104
14,chp_wte_back_pressure,PRT_2,heat,twh,0.0164910062004455
15,chp_biofuel_extraction,PRT_1,heat,twh,0.1112126162367578
15,chp_biofuel_extraction,PRT_2,heat,twh,0.0646736066523946
15,chp_hydrogen,PRT_1,heat,twh,0.0232237542488316
15,chp_hydrogen,PRT_2,heat,twh,0.0237878905717192
15,chp_methane_extraction,PRT_1,heat,twh,0.0191880403843174
15,chp_methane_extraction,PRT_2,heat,twh,0.0110252320110468
15,chp_wte_back_pressure,PRT_1,heat,twh,0.0135759897549149
15,chp_wte_back_pressure,PRT_2,heat,twh,0.0139090962671681
16,chp_biofuel_extraction,PRT_1,heat,twh,0.076419033388124
16,chp_biofuel_extraction,PRT_2,heat,twh,0.0330053282715356
16,chp_hydrogen,PRT_1,heat,twh,0.0124604640983325
16,chp_hydrogen,PRT_2,heat,twh,0.012294889938614
16,chp_methane_extraction,PRT_1,heat,twh,0.0137222982774019
16,chp_methane_extraction,PRT_2,heat,twh,0.006107785787146
16,chp_wte_back_pressure,PRT_1,heat,twh,0.0083856078596221
16,chp_wte_back_pressure,PRT_2,heat,twh,0.0086499600267078
17,chp_biofuel_extraction,PRT_1,heat,twh,0.1380567589503864
17,chp_biofuel_extraction,PRT_2,heat,twh,0.095638134733515
17,chp_hydrogen,PRT_1,heat,twh,0.0382424934340361
17,chp_hydrogen,PRT_2,heat,twh,0.0399177226939097
17,chp_methane_extraction,PRT_1,heat,twh,0.0226462423272821
17,chp_methane_extraction,PRT_2,heat,twh,0.0146063180926806
17,chp_wte_back_pressure,PRT_1,heat,twh,0.0155601101898627
17,chp_wte_back_pressure,PRT_2,heat,twh,0.0160781171239447
18,chp_biofuel_extraction,PRT_1,heat,twh,0.1471452653489267
18,chp_biofuel_extraction,PRT_2,heat,twh,0.0840311223350696
18,chp_hydrogen,PRT_1,heat,twh,0.0307573760446063
18,chp_hydrogen,PRT_2,heat,twh,0.0313981178631898
18,chp_methane_extraction,PRT_1,heat,twh,0.0227892216170213
18,chp_methane_extraction,PRT_2,heat,twh,0.0128162052575446
18,chp_wte_back_pressure,PRT_1,heat,twh,0.0145955111314182
18,chp_wte_back_pressure,PRT_2,heat,twh,0.0148748693527954
19,chp_biofuel_extraction,PRT_1,heat,twh,0.1484547027661175
19,chp_biofuel_extraction,PRT_2,heat,twh,0.0844749147377967
19,chp_hydrogen,PRT_1,heat,twh,0.0420306978406986
19,chp_hydrogen,PRT_2,heat,twh,0.0424865284700788
19,chp_methane_extraction,PRT_1,heat,twh,0.0295011320555813
19,chp_methane_extraction,PRT_2,heat,twh,0.0172479422185139
19,chp_wte_back_pressure,PRT_1,heat,twh,0.0202927647936755
19,chp_wte_back_pressure,PRT_2,heat,twh,0.0214749356882504
20,chp_biofuel_extraction,PRT_1,heat,twh,0.1527848911831778
20,chp_biofuel_extraction,PRT_2,heat,twh,0.0977777108073865
20,chp_hydrogen,PRT_1,heat,twh,0.0331248024516501
20,chp_hydrogen,PRT_2,heat,twh,0.0340616565160847
20,chp_methane_extraction,PRT_1,heat,twh,0.0238724060960166
20,chp_methane_extraction,PRT_2,heat,twh,0.0147681909572446
20,chp_wte_back_pressure,PRT_1,heat,twh,0.0167242340475456
20,chp_wte_back_pressure,PRT_2,heat,twh,0.0172705646521192
21,chp_biofuel_extraction,PRT_1,heat,twh,0.1314844925423654
21,chp_biofuel_extraction,PRT_2,heat,twh,0.0875092109220359
21,chp_hydrogen,PRT_1,heat,twh,0.0297468145999316
21,chp_hydrogen,PRT_2,heat,twh,0.0300863109852278
21,chp_methane_extraction,PRT_1,heat,twh,0.0185295705953658
21,chp_methane_extraction,PRT_2,heat,twh,0.0114611506868329
21,chp_wte_back_pressure,PRT_1,heat,twh,0.0128161205338521
21,chp_wte_back_pressure,PRT_2,heat,twh,0.0280967633204617
22,chp_biofuel_extraction,PRT_1,heat,twh,0.1284785841061282
22,chp_biofuel_extraction,PRT_2,heat,twh,0.0816592296758818
22,chp_hydrogen,PRT_1,heat,twh,0.0358137871647571
22,chp_hydrogen,PRT_2,heat,twh,0.0368051515408473
22,chp_methane_extraction,PRT_1,heat,twh,0.0214118225393096
22,chp_methane_extraction,PRT_2,heat,twh,0.0132580670472413
22,chp_wte_back_pressure,PRT_1,heat,twh,0.0142195789023678
22,chp_wte_back_pressure,PRT_2,heat,twh,0.0145304544343696
23,chp_biofuel_extraction,PRT_1,heat,twh,0.1644453758155117
23,chp_biofuel_extraction,PRT_2,heat,twh,0.1011536807998147
23,chp_hydrogen,PRT_1,heat,twh,0.0510255055833518
23,chp_hydrogen,PRT_2,heat,twh,0.0488939174148943
23,chp_methane_extraction,PRT_1,heat,twh,0.0378407161427957
23,chp_methane_extraction,PRT_2,heat,twh,0.0248965758884295
23,chp_wte_back_pressure,PRT_1,heat,twh,0.0303293494216193
23,chp_wte_back_pressure,PRT_2,heat,twh,0.0312475514372682
24,chp_biofuel_extraction,PRT_1,heat,twh,0.1668538254564794
24,chp_biofuel_extraction,PRT_2,heat,twh,0.0952088522694984
24,chp_hydrogen,PRT_1,heat,twh,0.0412946406177566
24,chp_hydrogen,PRT_2,heat,twh,0.0413763803371324
24,chp_methane_extraction,PRT_1,heat,twh,0.0301718813249624
24,chp_methane_extraction,PRT_2,heat,twh,0.0161466766346557
24,chp_wte_back_pressure,PRT_1,heat,twh,0.0217456184366229
24,chp_wte_back_pressure,PRT_2,heat,twh,0.0216439404817324
25,chp_biofuel_extraction,PRT_1,heat,twh,0.1184163233622213
25,chp_biofuel_extraction,PRT_2,heat,twh,0.049862518939255
25,chp_hydrogen,PRT_1,heat,twh,0.0171376306138036
25,chp_hydrogen,PRT_2,heat,twh,0.0180182317715132
25,chp_methane_extraction,PRT_1,heat,twh,0.0203939767795459
25,chp_methane_extraction,PRT_2,heat,twh,0.0083504897583367
25,chp_wte_back_pressure,PRT_1,heat,twh,0.0172642755966591
25,chp_wte_back_pressure,PRT_2,heat,twh,0.0176846353008338
26,chp_biofuel_extraction,PRT_1,heat,twh,0.148563267792823
26,chp_biofuel_extraction,PRT_2,heat,twh,0.1125539714942936
26,chp_hydrogen,PRT_1,heat,twh,0.0505044920404379
26,chp_hydrogen,PRT_2,heat,twh,0.0494526281812474
26,chp_methane_extraction,PRT_1,heat,twh,0.0307902090858969
26,chp_methane_extraction,PRT_2,heat,twh,0.0221736187064582
26,chp_wte_back_pressure,PRT_1,heat,twh,0.025285071340842
26,chp_wte_back_pressure,PRT_2,heat,twh,0.0258381915258428
27,chp_biofuel_extraction,PRT_1,heat,twh,0.1722385665406527
27,chp_biofuel_extraction,PRT_2,heat,twh,0.1036944908207555
27,chp_hydrogen,PRT_1,heat,twh,0.0383697646072449
27,chp_hydrogen,PRT_2,heat,twh,0.0385258937508307
27,chp_methane_extraction,PRT_1,heat,twh,0.0281638416857662
27,chp_methane_extraction,PRT_2,heat,twh,0.0166160103780297
27,chp_wte_back_pressure,PRT_1,heat,twh,0.0173450651922234
27,chp_wte_back_pressure,PRT_2,heat,twh,0.0179935800083799
28,chp_biofuel_extraction,PRT_1,heat,twh,0.1949120479524498
28,chp_biofuel_extraction,PRT_2,heat,twh,0.1257742960343149
28,chp_hydrogen,PRT_1,heat,twh,0.0552090399762808
28,chp_hydrogen,PRT_2,heat,twh,0.0557142236687063
28,chp_methane_extraction,PRT_1,heat,twh,0.0374036990895362
28,chp_methane_extraction,PRT_2,heat,twh,0.0229540374333906
28,chp_wte_back_pressure,PRT_1,heat,twh,0.02602115745283
28,chp_wte_back_pressure,PRT_2,heat,twh,0.0270281286798145
29,chp_biofuel_extraction,PRT_1,heat,twh,0.0877586283351259
29,chp_biofuel_extraction,PRT_2,heat,twh,0.0327828240117631
29,chp_hydrogen,PRT_1,heat,twh,0.0106131635612881
29,chp_hydrogen,PRT_2,heat,twh,0.0113245796428069
29,chp_methane_extraction,PRT_1,heat,twh,0.0160432396016267
29,chp_methane_extraction,PRT_2,heat,twh,0.0060781370193937
29,chp_wte_back_pressure,PRT_1,heat,twh,0.0193603402119685
29,chp_wte_back_pressure,PRT_2,heat,twh,0.0205947547003539
30,chp_biofuel_extraction,PRT_1,heat,twh,0.1430482478462047
30,chp_biofuel_extraction,PRT_2,heat,twh,0.1070525507496739
30,chp_hydrogen,PRT_1,heat,twh,0.0443955528868813
30,chp_hydrogen,PRT_2,heat,twh,0.0446543958205616
30,chp_methane_extraction,PRT_1,heat,twh,0.0238878738943983
30,chp_methane_extraction,PRT_2,heat,twh,0.0160611871558539
30,chp_wte_back_pressure,PRT_1,heat,twh,0.0185282084594998
30,chp_wte_back_pressure,PRT_2,heat,twh,0.0284818589293193
31,chp_biofuel_extraction,PRT_1,heat,twh,0.1935393097084785
31,chp_biofuel_extraction,PRT_2,heat,twh,0.1166674019412768
31,chp_hydrogen,PRT_1,heat,twh,0.0559959709443452
31,chp_hydrogen,PRT_2,heat,twh,0.0565280775141139
31,chp_methane_extraction,PRT_1,heat,twh,0.0370072011824101
31,chp_methane_extraction,PRT_2,heat,twh,0.0220693603181527
31,chp_wte_back_pressure,PRT_1,heat,twh,0.024012301158716
31,chp_wte_back_pressure,PRT_2,heat,twh,0.0252167783150808
32,chp_biofuel_extraction,PRT_1,heat,twh,0.1301329879925419
32,chp_biofuel_extraction,PRT_2,heat,twh,0.0719354702969859
32,chp_hydrogen,PRT_1,heat,twh,0.0217343150813144
32,chp_hydrogen,PRT_2,heat,twh,0.0226322765002419
32,chp_methane_extraction,PRT_1,heat,twh,0.0150945564645794
32,chp_methane_extraction,PRT_2,heat,twh,0.0075800047269083
32,chp_wte_back_pressure,PRT_1,heat,twh,0.0104750599050464
32,chp_wte_back_pressure,PRT_2,heat,twh,0.0101092509027815
33,chp_biofuel_extraction,PRT_1,heat,twh,0.194497534879681
33,chp_biofuel_extraction,PRT_2,heat,twh,0.1110501058726402
33,chp_hydrogen,PRT_1,heat,twh,0.0413520045552998
33,chp_hydrogen,PRT_2,heat,twh,0.0422782028580969
33,chp_methane_extraction,PRT_1,heat,twh,0.0316019489797029
33,chp_methane_extraction,PRT_2,heat,twh,0.0178228925155106
33,chp_wte_back_pressure,PRT_1,heat,twh,0.0224800843716497
33,chp_wte_back_pressure,PRT_2,heat,twh,0.0223218931352648
34,chp_biofuel_extraction,PRT_1,heat,twh,0.1884308431665696
34,chp_biofuel_extraction,PRT_2,heat,twh,0.1162496585699347
34,chp_hydrogen,PRT_1,heat,twh,0.043701122915951
34,chp_hydrogen,PRT_2,heat,twh,0.0441865638663636
34,chp_methane_extraction,PRT_1,heat,twh,0.0271603264786415
34,chp_methane_extraction,PRT_2,heat,twh,0.0161525477122351
34,chp_wte_back_pressure,PRT_1,heat,twh,0.0167390205770771
34,chp_wte_back_pressure,PRT_2,heat,twh,0.0176791185323489
35,chp_biofuel_extraction,PRT_1,heat,twh,0.1389798630508936
35,chp_biofuel_extraction,PRT_2,heat,twh,0.0778510376592334
35,chp_hydrogen,PRT_1,heat,twh,0.027273313157832
35,chp_hydrogen,PRT_2,heat,twh,0.0273292899872631
35,chp_methane_extraction,PRT_1,heat,twh,0.0206273080093615
35,chp_methane_extraction,PRT_2,heat,twh,0.0114284120735628
35,chp_wte_back_pressure,PRT_1,heat,twh,0.0132283517298365
35,chp_wte_back_pressure,PRT_2,heat,twh,0.0136727536832037
