spores,techs,locs,carriers,unit,generated_road_transport
0,heavy_transport_ev,PRT_1,transport,billion_km,1.083852248166873
0,heavy_transport_ev,PRT_2,transport,billion_km,1.257350376977567
0,heavy_transport_ice,PRT_1,transport,billion_km,9.930311039265427e-06
0,heavy_transport_ice,PRT_2,transport,billion_km,5.483670374092261e-06
0,light_transport_ev,PRT_1,transport,billion_km,37.688784299028654
0,light_transport_ev,PRT_2,transport,billion_km,39.924091165970296
0,light_transport_ice,PRT_1,transport,billion_km,6.012061577552359e-05
0,light_transport_ice,PRT_2,transport,billion_km,2.934382869981737e-05
1,heavy_transport_ev,PRT_1,transport,billion_km,1.0838591168411622
1,heavy_transport_ev,PRT_2,transport,billion_km,1.257350333091693
1,heavy_transport_ice,PRT_1,transport,billion_km,3.0783991581491567e-06
1,heavy_transport_ice,PRT_2,transport,billion_km,5.544319225117125e-06
1,light_transport_ev,PRT_1,transport,billion_km,37.68881776598129
1,light_transport_ev,PRT_2,transport,billion_km,39.9240788339332
1,light_transport_ice,PRT_1,transport,billion_km,2.6720464559140737e-05
1,light_transport_ice,PRT_2,transport,billion_km,4.1742933148298766e-05
2,heavy_transport_ev,PRT_1,transport,billion_km,1.0754678254421308
2,heavy_transport_ev,PRT_2,transport,billion_km,1.256806454463029
2,heavy_transport_ice,PRT_1,transport,billion_km,0.00839435190899
2,heavy_transport_ice,PRT_2,transport,billion_km,0.0005494050603449
2,light_transport_ev,PRT_1,transport,billion_km,37.65778774709453
2,light_transport_ev,PRT_2,transport,billion_km,39.920286130753226
2,light_transport_ice,PRT_1,transport,billion_km,0.0310566682287766
2,light_transport_ice,PRT_2,transport,billion_km,0.0038343746526084
3,heavy_transport_ev,PRT_1,transport,billion_km,1.0495104347785904
3,heavy_transport_ev,PRT_2,transport,billion_km,1.2568497178667366
3,heavy_transport_ice,PRT_1,transport,billion_km,0.0343626126905862
3,heavy_transport_ice,PRT_2,transport,billion_km,0.0005170117737617
3,light_transport_ev,PRT_1,transport,billion_km,37.64162313060185
3,light_transport_ev,PRT_2,transport,billion_km,39.92050544418784
3,light_transport_ice,PRT_1,transport,billion_km,0.0472647651786951
3,light_transport_ice,PRT_2,transport,billion_km,0.0036585410407444
4,heavy_transport_ev,PRT_1,transport,billion_km,1.0822388643276402
4,heavy_transport_ev,PRT_2,transport,billion_km,1.256676212040841
4,heavy_transport_ice,PRT_1,transport,billion_km,0.0016271567396636
4,heavy_transport_ice,PRT_2,transport,billion_km,0.0006834912026217
4,light_transport_ev,PRT_1,transport,billion_km,37.67834987639044
4,light_transport_ev,PRT_2,transport,billion_km,39.91935145727437
4,light_transport_ice,PRT_1,transport,billion_km,0.0105099143763453
4,light_transport_ice,PRT_2,transport,billion_km,0.004784423025705
5,heavy_transport_ev,PRT_1,transport,billion_km,1.081379907421156
5,heavy_transport_ev,PRT_2,transport,billion_km,1.2563210032462084
5,heavy_transport_ice,PRT_1,transport,billion_km,0.002496672066757
5,heavy_transport_ice,PRT_2,transport,billion_km,0.0010492584303892
5,light_transport_ev,PRT_1,transport,billion_km,37.67278699186599
5,light_transport_ev,PRT_2,transport,billion_km,39.91682183040436
5,light_transport_ice,PRT_1,transport,billion_km,0.0161150338546278
5,light_transport_ice,PRT_2,transport,billion_km,0.0073562837652417
6,heavy_transport_ev,PRT_1,transport,billion_km,1.0814278367807688
6,heavy_transport_ev,PRT_2,transport,billion_km,1.2563832835240225
6,heavy_transport_ice,PRT_1,transport,billion_km,0.002442191660056
6,heavy_transport_ice,PRT_2,transport,billion_km,0.0009804270916161
6,light_transport_ev,PRT_1,transport,billion_km,37.67313694535852
6,light_transport_ev,PRT_2,transport,billion_km,39.91728555088638
6,light_transport_ice,PRT_1,transport,billion_km,0.0157388746853599
