spores,unit,import_dependency
0,non-dimensional,0.021539490896588374
1,non-dimensional,0.055975066867235246
2,non-dimensional,0.1402902381521802
3,non-dimensional,0.08430772031037799
4,non-dimensional,0.08489713619278381
5,non-dimensional,0.07375978126498105
6,non-dimensional,0.0783437583099007
7,non-dimensional,0.07893710293185165
8,non-dimensional,0.0683661260585303
9,non-dimensional,0.0868663337528461
10,non-dimensional,0.07950223492358638
11,non-dimensional,0.0679446223038809
12,non-dimensional,0.07675734527030335
13,non-dimensional,0.06576446839496149
14,non-dimensional,0.06746294917500252
15,non-dimensional,0.0641717362803553
16,non-dimensional,0.07242761419965334
17,non-dimensional,0.07507749632629733
18,non-dimensional,0.07216044823604312
19,non-dimensional,0.07531476927346929
20,non-dimensional,0.06931022860529691
21,non-dimensional,0.07167298441295865
22,non-dimensional,0.06622349354055253
23,non-dimensional,0.07050722972733153
24,non-dimensional,0.07184364260659654
25,non-dimensional,0.06933368934152465
26,non-dimensional,0.07270341778589494
27,non-dimensional,0.07271559799397395
28,non-dimensional,0.07293454427384828
29,non-dimensional,0.06707353424559713
30,non-dimensional,0.07696632283520105
31,non-dimensional,0.07321700557572194
32,non-dimensional,0.07694152096245042
33,non-dimensional,0.07113769675530926
34,non-dimensional,0.07366686963302292
35,non-dimensional,0.07617884029853622
36,non-dimensional,0.07507487589670535
37,non-dimensional,0.07646738909803728
38,non-dimensional,0.07302927906727388
39,non-dimensional,0.06949196114666087
40,non-dimensional,0.07009522000989042
41,non-dimensional,0.07873802996912119
42,non-dimensional,0.06876899732137429
43,non-dimensional,0.06471246228550967
44,non-dimensional,0.06732239863602134
45,non-dimensional,0.06794669041820035
46,non-dimensional,0.0668821978709578
47,non-dimensional,0.06843032001181731
48,non-dimensional,0.06359081539384757
49,non-dimensional,0.06996778743734204
50,non-dimensional,0.08319614204049719
51,non-dimensional,0.04088298783204463
52,non-dimensional,0.04174406182721227
53,non-dimensional,0.05798579277298988
54,non-dimensional,0.06996289376780522
55,non-dimensional,0.06789100654690403
56,non-dimensional,0.07113048020819607
57,non-dimensional,0.07128163502655888
58,non-dimensional,0.08005906228308815
59,non-dimensional,0.08454038317018256
60,non-dimensional,0.07954943988595818
61,non-dimensional,0.04116213600805575
62,non-dimensional,0.04178890469402607
63,non-dimensional,0.04631376462375566
64,non-dimensional,0.06440824169403167
65,non-dimensional,0.06806063267658949
66,non-dimensional,0.07243061976134622
67,non-dimensional,0.07690750100846028
68,non-dimensional,0.07829054807247392
69,non-dimensional,0.07542832987780164
70,non-dimensional,0.07270526350293155
71,non-dimensional,0.04338976722828538
