spores,techs,locs,carriers,unit,nameplate_capacity
0,chp_biofuel_extraction,PRT_1,heat,gw,6.060198178326705e-05
0,chp_biofuel_extraction,PRT_2,heat,gw,5.05138003229184e-05
0,chp_hydrogen,PRT_1,heat,gw,2.460120553517743e-05
0,chp_hydrogen,PRT_2,heat,gw,3.2867731593073335e-05
0,chp_methane_extraction,PRT_1,heat,gw,1.00550453288186e-05
0,chp_methane_extraction,PRT_2,heat,gw,1.0773054990210089e-05
0,chp_wte_back_pressure,PRT_1,electricity,gw,0.0963488954942974
0,chp_wte_back_pressure,PRT_1,heat,gw,5.639512056429561e-06
0,chp_wte_back_pressure,PRT_2,electricity,gw,0.09429568918663617
0,chp_wte_back_pressure,PRT_2,heat,gw,6.13484829812873e-06
0,electrolysis,PRT_1,hydrogen,gw,0.2436802546921
0,electrolysis,PRT_2,hydrogen,gw,3.7646845706523
0,existing_pv,PRT-10_1,electricity,gw,0.2
0,existing_pv,PRT-12_1,electricity,gw,0.1
0,existing_pv,PRT-15_1,electricity,gw,0.2
0,existing_pv,PRT-3_1,electricity,gw,0.5
0,existing_pv,PRT-9_1,electricity,gw,0.1
0,existing_wind,PRT-10_1,electricity,gw,0.11
0,existing_wind,PRT-11_1,electricity,gw,0.43
0,existing_wind,PRT-12_1,electricity,gw,0.1
0,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
0,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
0,existing_wind,PRT-17_1,electricity,gw,0.08
0,existing_wind,PRT-18_1,electricity,gw,0.83
0,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
0,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
0,existing_wind,PRT-20_1,electricity,gw,0.82
0,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
0,existing_wind,PRT-4_1,electricity,gw,0.35
0,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
0,existing_wind,PRT-6_1,electricity,gw,0.67
0,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
0,existing_wind,PRT-9_1,electricity,gw,0.23
0,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
0,hydro_reservoir,PRT_2,electricity,gw,0.205
0,hydro_run_of_river,PRT_1,electricity,gw,1.4028
0,hydro_run_of_river,PRT_2,electricity,gw,0.2127
0,open_field_pv,PRT-10_1,electricity,gw,9.9980757092508
0,open_field_pv,PRT-11_1,electricity,gw,9.9999670680093
0,open_field_pv,PRT-12_1,electricity,gw,0.0008400532142855644
0,open_field_pv,PRT-14_1,electricity,gw,0.000581140275701858
0,open_field_pv,PRT-15_1,electricity,gw,0.7995260411223
0,open_field_pv,PRT-16_1,electricity,gw,0.0005612657819633592
0,open_field_pv,PRT-17_1,electricity,gw,4.332215332152501
0,open_field_pv,PRT-18_1,electricity,gw,0.0005386384488558768
0,open_field_pv,PRT-19_1,electricity,gw,0.0012328885255363554
0,open_field_pv,PRT-20_1,electricity,gw,0.0027535409119577438
0,open_field_pv,PRT-3_1,electricity,gw,9.999526357051199
0,open_field_pv,PRT-4_1,electricity,gw,0.0006209564425993939
0,open_field_pv,PRT-5_1,electricity,gw,0.044655325480733254
0,open_field_pv,PRT-6_1,electricity,gw,9.9994134770455
0,open_field_pv,PRT-7_1,electricity,gw,9.9999108089796
0,open_field_pv,PRT-8_1,electricity,gw,0.0013916216384669852
0,open_field_pv,PRT-9_1,electricity,gw,9.9999061749641
0,pumped_hydro,PRT_1,electricity,gw,3.126
0,pumped_hydro,PRT_2,electricity,gw,0.514
0,wind_onshore,PRT-11_1,electricity,gw,0.0025025277710827567
0,wind_onshore,PRT-12_1,electricity,gw,1.963366654774
0,wind_onshore,PRT-14_1,electricity,gw,0.000714397521986127
0,wind_onshore,PRT-16_1,electricity,gw,0.000929690034099365
0,wind_onshore,PRT-17_1,electricity,gw,2.0517036514163
0,wind_onshore,PRT-3_1,electricity,gw,0.000764162277516978
0,wind_onshore,PRT-8_1,electricity,gw,0.0006441880770596608
0,wind_onshore,PRT-9_1,electricity,gw,9.999748088567399
1,battery,PRT_1,electricity,gw,0.04864733975353898
1,battery,PRT_2,electricity,gw,0.6577772201652999
1,chp_biofuel_extraction,PRT_1,heat,gw,8.34804112647504e-05
