spores,techs,locs,carriers,unit,storage_capacity
0,battery,PRT_1,electricity,twh,1.4598486859117766e-07
0,heat_storage_big,PRT_1,heat,twh,7.240287001526989e-05
0,heat_storage_small,PRT_1,heat,twh,2.1799475514493123e-06
0,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
0,hydrogen_storage,PRT_1,hydrogen,twh,2.355832784839229e-06
0,methane_storage,PRT_1,methane,twh,1.785
0,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
0,battery,PRT_2,electricity,twh,1.6634170686026565e-07
0,heat_storage_big,PRT_2,heat,twh,7.13782470767966e-05
0,heat_storage_small,PRT_2,heat,twh,2.382651759894947e-06
0,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
0,hydrogen_storage,PRT_2,hydrogen,twh,2.3558489099835253e-06
0,methane_storage,PRT_2,methane,twh,1.785
0,pumped_hydro,PRT_2,electricity,twh,0.0058
1,battery,PRT_1,electricity,twh,0.000157267166178
1,heat_storage_big,PRT_1,heat,twh,0.0003913685615764
1,heat_storage_small,PRT_1,heat,twh,0.0016890587227866
1,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
1,hydrogen_storage,PRT_1,hydrogen,twh,2.3325915028719967e-05
1,methane_storage,PRT_1,methane,twh,1.785
1,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
1,battery,PRT_2,electricity,twh,0.0021280370534291
1,heat_storage_big,PRT_2,heat,twh,0.0004979080455877
1,heat_storage_small,PRT_2,heat,twh,0.0001122094885335
1,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
1,hydrogen_storage,PRT_2,hydrogen,twh,2.3380591894761844e-05
1,methane_storage,PRT_2,methane,twh,1.785
1,pumped_hydro,PRT_2,electricity,twh,0.0058
2,battery,PRT_1,electricity,twh,2.0952496315874296e-05
2,heat_storage_big,PRT_1,heat,twh,0.0097426857921477
2,heat_storage_small,PRT_1,heat,twh,0.0002440819595429
2,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
2,hydrogen_storage,PRT_1,hydrogen,twh,0.0005137683584421
2,methane_storage,PRT_1,methane,twh,1.785
2,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
2,battery,PRT_2,electricity,twh,2.7096667585255664e-05
2,heat_storage_big,PRT_2,heat,twh,0.0113114942836185
2,heat_storage_small,PRT_2,heat,twh,0.0010883711921391
2,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
2,hydrogen_storage,PRT_2,hydrogen,twh,0.0005143829937646
2,methane_storage,PRT_2,methane,twh,1.785
2,pumped_hydro,PRT_2,electricity,twh,0.0058
3,battery,PRT_1,electricity,twh,2.907126394704418e-05
3,heat_storage_big,PRT_1,heat,twh,0.007968367310495
3,heat_storage_small,PRT_1,heat,twh,0.0002890003841545
3,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
3,hydrogen_storage,PRT_1,hydrogen,twh,0.000486072241984
3,methane_storage,PRT_1,methane,twh,1.785
3,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
3,battery,PRT_2,electricity,twh,6.733840811671784e-05
3,heat_storage_big,PRT_2,heat,twh,0.0095193730982588
3,heat_storage_small,PRT_2,heat,twh,0.0024545084781361
3,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
3,hydrogen_storage,PRT_2,hydrogen,twh,0.0004861923738315
3,methane_storage,PRT_2,methane,twh,1.785
3,pumped_hydro,PRT_2,electricity,twh,0.0058
4,battery,PRT_1,electricity,twh,2.884734697603285e-05
4,heat_storage_big,PRT_1,heat,twh,0.008487550164393
4,heat_storage_small,PRT_1,heat,twh,0.0016435580943012
4,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
4,hydrogen_storage,PRT_1,hydrogen,twh,0.0005096033970748
4,methane_storage,PRT_1,methane,twh,1.785
4,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
4,battery,PRT_2,electricity,twh,5.314761404796907e-05
4,heat_storage_big,PRT_2,heat,twh,0.0107121794218208
4,heat_storage_small,PRT_2,heat,twh,0.00103867640968
4,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
4,hydrogen_storage,PRT_2,hydrogen,twh,0.0005099671958455
4,methane_storage,PRT_2,methane,twh,1.785
4,pumped_hydro,PRT_2,electricity,twh,0.0058
5,battery,PRT_1,electricity,twh,3.726334257197451e-05
5,heat_storage_big,PRT_1,heat,twh,0.0114637252007347
5,heat_storage_small,PRT_1,heat,twh,0.0017484830542745
5,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
5,hydrogen_storage,PRT_1,hydrogen,twh,0.0007550022326411
5,methane_storage,PRT_1,methane,twh,1.785
5,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
5,battery,PRT_2,electricity,twh,0.0001026976846535
5,heat_storage_big,PRT_2,heat,twh,0.014784525463366
5,heat_storage_small,PRT_2,heat,twh,0.0024860913092871
5,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
5,hydrogen_storage,PRT_2,hydrogen,twh,0.00075573855724
5,methane_storage,PRT_2,methane,twh,1.785
5,pumped_hydro,PRT_2,electricity,twh,0.0058
6,battery,PRT_1,electricity,twh,2.4983503498445e-05
6,heat_storage_big,PRT_1,heat,twh,0.0117606374254585
6,heat_storage_small,PRT_1,heat,twh,0.0014928302540136
6,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
6,hydrogen_storage,PRT_1,hydrogen,twh,0.0007072846270473
6,methane_storage,PRT_1,methane,twh,1.785
6,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
6,battery,PRT_2,electricity,twh,5.987135122956416e-05
6,heat_storage_big,PRT_2,heat,twh,0.0140122527368175
6,heat_storage_small,PRT_2,heat,twh,0.0015953555296925
6,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
6,hydrogen_storage,PRT_2,hydrogen,twh,0.0007081305890577
6,methane_storage,PRT_2,methane,twh,1.785
6,pumped_hydro,PRT_2,electricity,twh,0.0058
7,battery,PRT_1,electricity,twh,9.736823117762016e-05
7,heat_storage_big,PRT_1,heat,twh,0.015681809557921
7,heat_storage_small,PRT_1,heat,twh,0.0017611514630725
7,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
7,hydrogen_storage,PRT_1,hydrogen,twh,0.0010656277899972
7,methane_storage,PRT_1,methane,twh,1.785
7,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
7,battery,PRT_2,electricity,twh,0.0001310538420843
7,heat_storage_big,PRT_2,heat,twh,0.0195436974651992
7,heat_storage_small,PRT_2,heat,twh,0.0025112141238893
7,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
7,hydrogen_storage,PRT_2,hydrogen,twh,0.0010665595995907
7,methane_storage,PRT_2,methane,twh,1.785
7,pumped_hydro,PRT_2,electricity,twh,0.0058
8,battery,PRT_1,electricity,twh,0.0001164262506307
8,heat_storage_big,PRT_1,heat,twh,0.0208450970133554
8,heat_storage_small,PRT_1,heat,twh,0.0017957494867302
8,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
8,hydrogen_storage,PRT_1,hydrogen,twh,0.0013531869832039
8,methane_storage,PRT_1,methane,twh,1.785
8,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
8,battery,PRT_2,electricity,twh,6.958409418148092e-05
8,heat_storage_big,PRT_2,heat,twh,0.0264658481002153
8,heat_storage_small,PRT_2,heat,twh,0.0025578610908403
8,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
8,hydrogen_storage,PRT_2,hydrogen,twh,0.0013541055626304
8,methane_storage,PRT_2,methane,twh,1.785
8,pumped_hydro,PRT_2,electricity,twh,0.0058
9,battery,PRT_1,electricity,twh,0.0001230036443518
9,heat_storage_big,PRT_1,heat,twh,0.0218451608762766
9,heat_storage_small,PRT_1,heat,twh,0.001600633594792
9,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
9,hydrogen_storage,PRT_1,hydrogen,twh,0.0013887113840949
9,methane_storage,PRT_1,methane,twh,1.785
9,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
9,battery,PRT_2,electricity,twh,0.0001006658171128
9,heat_storage_big,PRT_2,heat,twh,0.0285245505306413
9,heat_storage_small,PRT_2,heat,twh,0.0017617186666096
9,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
9,hydrogen_storage,PRT_2,hydrogen,twh,0.0013897709254267
9,methane_storage,PRT_2,methane,twh,1.785
9,pumped_hydro,PRT_2,electricity,twh,0.0058
10,battery,PRT_1,electricity,twh,0.0001567757289316
10,heat_storage_big,PRT_1,heat,twh,0.0260404604349406
10,heat_storage_small,PRT_1,heat,twh,0.0017846164921021
10,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
10,hydrogen_storage,PRT_1,hydrogen,twh,0.0016775107393516
10,methane_storage,PRT_1,methane,twh,1.785
10,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
10,battery,PRT_2,electricity,twh,0.0001044486350498
10,heat_storage_big,PRT_2,heat,twh,0.0338456031217885
10,heat_storage_small,PRT_2,heat,twh,0.0025834988470997
10,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
10,hydrogen_storage,PRT_2,hydrogen,twh,0.0016787712857673
10,methane_storage,PRT_2,methane,twh,1.785
10,pumped_hydro,PRT_2,electricity,twh,0.0058
11,battery,PRT_1,electricity,twh,0.0002435744284174
11,heat_storage_big,PRT_1,heat,twh,0.0325656312485992
11,heat_storage_small,PRT_1,heat,twh,0.001976274292038
11,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
11,hydrogen_storage,PRT_1,hydrogen,twh,0.0018814376118719
11,methane_storage,PRT_1,methane,twh,1.785
11,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
11,battery,PRT_2,electricity,twh,0.0001342244125552
11,heat_storage_big,PRT_2,heat,twh,0.0447048281856372
11,heat_storage_small,PRT_2,heat,twh,0.0026370489082564
11,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
11,hydrogen_storage,PRT_2,hydrogen,twh,0.0018829420387164
11,methane_storage,PRT_2,methane,twh,1.785
11,pumped_hydro,PRT_2,electricity,twh,0.0058
12,battery,PRT_1,electricity,twh,0.0004226241133372
12,heat_storage_big,PRT_1,heat,twh,0.0327509494870439
12,heat_storage_small,PRT_1,heat,twh,0.0018922042185304
12,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
12,hydrogen_storage,PRT_1,hydrogen,twh,0.0021785346657108
12,methane_storage,PRT_1,methane,twh,1.785
12,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
12,battery,PRT_2,electricity,twh,0.0001070597701566
12,heat_storage_big,PRT_2,heat,twh,0.0430874955404336
12,heat_storage_small,PRT_2,heat,twh,0.0025998257669882
12,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
12,hydrogen_storage,PRT_2,hydrogen,twh,0.002180426397849
12,methane_storage,PRT_2,methane,twh,1.785
12,pumped_hydro,PRT_2,electricity,twh,0.0058
13,battery,PRT_1,electricity,twh,0.0005867914066135
13,heat_storage_big,PRT_1,heat,twh,0.0196963789939567
13,heat_storage_small,PRT_1,heat,twh,0.001749861085398
13,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
13,hydrogen_storage,PRT_1,hydrogen,twh,0.0012196515837352
13,methane_storage,PRT_1,methane,twh,1.785
13,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
13,battery,PRT_2,electricity,twh,0.0001210343348348
13,heat_storage_big,PRT_2,heat,twh,0.0241118853781535
13,heat_storage_small,PRT_2,heat,twh,0.0025047458417947
13,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
13,hydrogen_storage,PRT_2,hydrogen,twh,0.0012205848905548
13,methane_storage,PRT_2,methane,twh,1.785
13,pumped_hydro,PRT_2,electricity,twh,0.0058
14,battery,PRT_1,electricity,twh,0.0018805858973335
14,heat_storage_big,PRT_1,heat,twh,0.0236444921649318
14,heat_storage_small,PRT_1,heat,twh,0.00180794350221
14,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
14,hydrogen_storage,PRT_1,hydrogen,twh,0.0015997717863768
14,methane_storage,PRT_1,methane,twh,1.785
14,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
14,battery,PRT_2,electricity,twh,0.0001202677646241
14,heat_storage_big,PRT_2,heat,twh,0.0320824367599337
14,heat_storage_small,PRT_2,heat,twh,0.0025456759189713
14,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
14,hydrogen_storage,PRT_2,hydrogen,twh,0.0016014925635576
14,methane_storage,PRT_2,methane,twh,1.785
14,pumped_hydro,PRT_2,electricity,twh,0.0058
15,battery,PRT_1,electricity,twh,0.0026396510925082
15,heat_storage_big,PRT_1,heat,twh,0.0293970201732583
15,heat_storage_small,PRT_1,heat,twh,0.0018383144877927
15,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
15,hydrogen_storage,PRT_1,hydrogen,twh,0.001947125507069
15,methane_storage,PRT_1,methane,twh,1.785
15,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
15,battery,PRT_2,electricity,twh,0.0001223715344411
15,heat_storage_big,PRT_2,heat,twh,0.0387439256803616
15,heat_storage_small,PRT_2,heat,twh,0.002602137543882
15,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
15,hydrogen_storage,PRT_2,hydrogen,twh,0.001948494141921
15,methane_storage,PRT_2,methane,twh,1.785
15,pumped_hydro,PRT_2,electricity,twh,0.0058
16,battery,PRT_1,electricity,twh,0.002773297936151
16,heat_storage_big,PRT_1,heat,twh,0.0200488777605929
16,heat_storage_small,PRT_1,heat,twh,0.0017782133789464
16,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
16,hydrogen_storage,PRT_1,hydrogen,twh,0.0012204290853478
16,methane_storage,PRT_1,methane,twh,1.785
16,pumped_hydro,PRT_1,electricity,twh,0.505776103896104
16,battery,PRT_2,electricity,twh,5.7553592993988165e-05
16,heat_storage_big,PRT_2,heat,twh,0.0248685288553929
16,heat_storage_small,PRT_2,heat,twh,0.0024748862977845
16,hydro_reservoir,PRT_2,electricity,twh,0.1739601194724856
16,hydrogen_storage,PRT_2,hydrogen,twh,0.0012213850047957
16,methane_storage,PRT_2,methane,twh,1.785
16,pumped_hydro,PRT_2,electricity,twh,0.0058
17,battery,PRT_1,electricity,twh,0.0019134384732256
17,heat_storage_big,PRT_1,heat,twh,0.0321097568643256
17,heat_storage_small,PRT_1,heat,twh,0.0018726825685321
17,hydro_reservoir,PRT_1,electricity,twh,1.6428179933707294
