spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
0,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,15.0
0,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,15.0
0,ac_transmission,PRT_1,gw,electricity,PRT_2,4.2612168604188
0,ac_transmission,PRT_2,gw,electricity,PRT_1,4.2612168604188
1,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000051227844
1,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000051227844
1,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999998771
1,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999998771
2,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,4.4884022592824
2,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,4.4884022592824
2,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000000446568
2,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000000446568
3,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.2493568572126
3,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.2493568572126
3,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999995932299997
3,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999995932299997
4,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.6996763507579
4,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.6996763507579
4,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999989210937996
4,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999989210937996
5,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0665241024723
5,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0665241024723
5,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000130666783
5,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000130666783
6,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.2924214474873996
6,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.2924214474873996
6,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000121013507
6,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000121013507
7,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.1763023288313996
7,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.1763023288313996
7,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999986745782
7,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999986745782
8,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001440163904
8,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001440163904
8,ac_transmission,PRT_1,gw,electricity,PRT_2,4.000015880551899
8,ac_transmission,PRT_2,gw,electricity,PRT_1,4.000015880551899
9,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.1426282733027002
9,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.1426282733027002
9,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000018286308
9,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000018286308
10,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000208594170004
10,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000208594170004
10,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999999347946
10,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999999347946
11,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000057740922
11,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000057740922
11,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000002549819005
11,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000002549819005
12,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0003672314052
12,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0003672314052
12,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999979523774
12,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999979523774
13,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.000056596491
13,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.000056596491
13,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998691145
13,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998691145
14,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0006151217497
14,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0006151217497
14,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000009401735
14,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000009401735
15,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9999998076981
15,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9999998076981
15,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999985708443
15,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999985708443
16,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004738718736
16,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004738718736
16,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999991079910004
16,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999991079910004
17,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0001740856541
17,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0001740856541
17,ac_transmission,PRT_1,gw,electricity,PRT_2,4.0000002798993
17,ac_transmission,PRT_2,gw,electricity,PRT_1,4.0000002798993
18,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0011961739462003
18,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0011961739462003
18,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999998530894
18,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999998530894
19,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0000348933643
19,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0000348933643
19,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9999997807788996
19,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9999997807788996
20,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0019408239853
